id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator,embodied
a1-2xlarge,a1,a1.2xlarge,general,8,16,0,0,aws-graviton-1,0,,1.0221904
a1-4xlarge,a1,a1.4xlarge,general,16,32,0,0,aws-graviton-1,0,,1.0221904
a1-large,a1,a1.large,general,2,4,0,0,aws-graviton-1,0,,1.0221904
a1-medium,a1,a1.medium,general,1,2,0,0,aws-graviton-1,0,,1.0221904
a1-metal,a1,a1.metal,general,16,32,0,0,aws-graviton-1,0,,1.0221904
a1-xlarge,a1,a1.xlarge,general,4,8,0,0,aws-graviton-1,0,,1.0221904
c1-medium,c1,c1.medium,compute,2,1.7,0,350,intel-xeon-e52651v2,0,,1.5360594
c1-xlarge,c1,c1.xlarge,compute,8,7,0,1680,intel-xeon-e52651v2,0,,1.5360594
c3-2xlarge,c3,c3.2xlarge,compute,8,15,160,0,intel-xeon-e52680v2,0,,1.3610236
c3-4xlarge,c3,c3.4xlarge,compute,16,30,320,0,intel-xeon-e52680v2,0,,1.3610236
c3-8xlarge,c3,c3.8xlarge,compute,32,60,640,0,intel-xeon-e52680v2,0,,1.3610236
c3-large,c3,c3.large,compute,2,3.75,32,0,intel-xeon-e52680v2,0,,1.3610236
c3-xlarge,c3,c3.xlarge,compute,4,7.5,80,0,intel-xeon-e52680v2,0,,1.3610236
c4-2xlarge,c4,c4.2xlarge,compute,8,15,0,0,intel-xeon-e52666v3,0,,1.1610236
c4-4xlarge,c4,c4.4xlarge,compute,16,30,0,0,intel-xeon-e52666v3,0,,1.1610236
c4-8xlarge,c4,c4.8xlarge,compute,36,60,0,0,intel-xeon-e52666v3,0,,1.1610236
c4-large,c4,c4.large,compute,2,3.75,0,0,intel-xeon-e52666v3,0,,1.1610236
c4-xlarge,c4,c4.xlarge,compute,4,7.5,0,0,intel-xeon-e52666v3,0,,1.1610236
c5-12xlarge,c5,c5.12xlarge,compute,48,96,0,0,intel-xeon-8275cl,0,,1.3440944
c5-18xlarge,c5,c5.18xlarge,compute,72,144,0,0,intel-xeon-8124m,0,,1.3440944
c5-24xlarge,c5,c5.24xlarge,compute,96,192,0,0,intel-xeon-8275cl,0,,1.3440944
c5-2xlarge,c5,c5.2xlarge,compute,8,16,0,0,intel-xeon-8124m,0,,1.3440944
c5-4xlarge,c5,c5.4xlarge,compute,16,32,0,0,intel-xeon-8124m,0,,1.3440944
c5-9xlarge,c5,c5.9xlarge,compute,36,72,0,0,intel-xeon-8124m,0,,1.3440944
c5-large,c5,c5.large,compute,2,4,0,0,intel-xeon-8124m,0,,1.3440944
c5-metal,c5,c5.metal,compute,96,192,0,0,intel-xeon-8275cl,0,,1.3440944
c5-xlarge,c5,c5.xlarge,compute,4,8,0,0,intel-xeon-8124m,0,,1.3440944
c5a-12xlarge,c5a,c5a.12xlarge,compute,48,96,0,0,amd-epyc-7r32,0,,1.2440944
c5a-16xlarge,c5a,c5a.16xlarge,compute,64,128,0,0,amd-epyc-7r32,0,,1.2440944
c5a-24xlarge,c5a,c5a.24xlarge,compute,96,192,0,0,amd-epyc-7r32,0,,1.2440944
c5a-2xlarge,c5a,c5a.2xlarge,compute,8,16,0,0,amd-epyc-7r32,0,,1.2440944
c5a-4xlarge,c5a,c5a.4xlarge,compute,16,32,0,0,amd-epyc-7r32,0,,1.2440944
c5a-8xlarge,c5a,c5a.8xlarge,compute,32,64,0,0,amd-epyc-7r32,0,,1.2440944
c5a-large,c5a,c5a.large,compute,2,4,0,0,amd-epyc-7r32,0,,1.2440944
c5a-xlarge,c5a,c5a.xlarge,compute,4,8,0,0,amd-epyc-7r32,0,,1.2440944
c5ad-12xlarge,c5ad,c5ad.12xlarge,compute,48,96,1800,0,amd-epyc-7r32,0,,1.4440944
c5ad-16xlarge,c5ad,c5ad.16xlarge,compute,64,128,2400,0,amd-epyc-7r32,0,,1.4440944
c5ad-24xlarge,c5ad,c5ad.24xlarge,compute,96,192,3800,0,amd-epyc-7r32,0,,1.4440944
c5ad-2xlarge,c5ad,c5ad.2xlarge,compute,8,16,300,0,amd-epyc-7r32,0,,1.4440944
c5ad-4xlarge,c5ad,c5ad.4xlarge,compute,16,32,600,0,amd-epyc-7r32,0,,1.4440944
c5ad-8xlarge,c5ad,c5ad.8xlarge,compute,32,64,1200,0,amd-epyc-7r32,0,,1.4440944
c5ad-large,c5ad,c5ad.large,compute,2,4,75,0,amd-epyc-7r32,0,,1.4440944
c5ad-xlarge,c5ad,c5ad.xlarge,compute,4,8,150,0,amd-epyc-7r32,0,,1.4440944
c5d-12xlarge,c5d,c5d.12xlarge,compute,48,96,1800,0,intel-xeon-8275cl,0,,1.7440944
c5d-18xlarge,c5d,c5d.18xlarge,compute,72,144,1800,0,intel-xeon-8124m,0,,1.5440944
c5d-24xlarge,c5d,c5d.24xlarge,compute,96,192,3600,0,intel-xeon-8275cl,0,,1.7440944
c5d-2xlarge,c5d,c5d.2xlarge,compute,8,16,200,0,intel-xeon-8124m,0,,1.5440944
c5d-4xlarge,c5d,c5d.4xlarge,compute,16,32,400,0,intel-xeon-8124m,0,,1.5440944
c5d-9xlarge,c5d,c5d.9xlarge,compute,36,72,900,0,intel-xeon-8124m,0,,1.5440944
c5d-large,c5d,c5d.large,compute,2,4,50,0,intel-xeon-8124m,0,,1.5440944
c5d-metal,c5d,c5d.metal,compute,96,192,3600,0,intel-xeon-8275cl,0,,1.7440944
c5d-xlarge,c5d,c5d.xlarge,compute,4,8,100,0,intel-xeon-8124m,0,,1.5440944
c5n-18xlarge,c5n,c5n.18xlarge,compute,72,192,0,0,intel-xeon-8124m,0,,1.3440944
c5n-2xlarge,c5n,c5n.2xlarge,compute,8,21,0,0,intel-xeon-8124m,0,,1.3440944
c5n-4xlarge,c5n,c5n.4xlarge,compute,16,42,0,0,intel-xeon-8124m,0,,1.3440944
c5n-9xlarge,c5n,c5n.9xlarge,compute,36,96,0,0,intel-xeon-8124m,0,,1.3440944
c5n-large,c5n,c5n.large,compute,2,5.25,0,0,intel-xeon-8124m,0,,1.3440944
c5n-metal,c5n,c5n.metal,compute,72,192,0,0,intel-xeon-8124m,0,,1.3440944
c5n-xlarge,c5n,c5n.xlarge,compute,4,10.5,0,0,intel-xeon-8124m,0,,1.3440944
c6a-12xlarge,c6a,c6a.12xlarge,compute,48,96,0,0,amd-epyc-7r13,0,,1.2440944
c6a-16xlarge,c6a,c6a.16xlarge,compute,64,128,0,0,amd-epyc-7r13,0,,1.2440944
c6a-24xlarge,c6a,c6a.24xlarge,compute,96,192,0,0,amd-epyc-7r13,0,,1.2440944
c6a-2xlarge,c6a,c6a.2xlarge,compute,8,16,0,0,amd-epyc-7r13,0,,1.2440944
c6a-32xlarge,c6a,c6a.32xlarge,compute,128,256,0,0,amd-epyc-7r13,0,,1.7879024
c6a-48xlarge,c6a,c6a.48xlarge,compute,192,384,0,0,amd-epyc-7r13,0,,1.7879024
c6a-4xlarge,c6a,c6a.4xlarge,compute,16,32,0,0,amd-epyc-7r13,0,,1.2440944
c6a-8xlarge,c6a,c6a.8xlarge,compute,32,64,0,0,amd-epyc-7r13,0,,1.2440944
c6a-large,c6a,c6a.large,compute,2,4,0,0,amd-epyc-7r13,0,,1.2440944
c6a-metal,c6a,c6a.metal,compute,192,384,0,0,amd-epyc-7r13,0,,1.7879024
c6a-xlarge,c6a,c6a.xlarge,compute,4,8,0,0,amd-epyc-7r13,0,,1.2440944
c6g-12xlarge,c6g,c6g.12xlarge,compute,48,96,0,0,aws-graviton-2,0,,1.1553328
c6g-16xlarge,c6g,c6g.16xlarge,compute,64,128,0,0,aws-graviton-2,0,,1.1553328
c6g-2xlarge,c6g,c6g.2xlarge,compute,8,16,0,0,aws-graviton-2,0,,1.1553328
c6g-4xlarge,c6g,c6g.4xlarge,compute,16,32,0,0,aws-graviton-2,0,,1.1553328
c6g-8xlarge,c6g,c6g.8xlarge,compute,32,64,0,0,aws-graviton-2,0,,1.1553328
c6g-large,c6g,c6g.large,compute,2,4,0,0,aws-graviton-2,0,,1.1553328
c6g-medium,c6g,c6g.medium,compute,1,2,0,0,aws-graviton-2,0,,1.1553328
c6g-metal,c6g,c6g.metal,compute,64,128,0,0,aws-graviton-2,0,,1.1553328
c6g-xlarge,c6g,c6g.xlarge,compute,4,8,0,0,aws-graviton-2,0,,1.1553328
c6gd-12xlarge,c6gd,c6gd.12xlarge,compute,48,96,2850,0,aws-graviton-2,0,,1.3553328
c6gd-16xlarge,c6gd,c6gd.16xlarge,compute,64,128,3800,0,aws-graviton-2,0,,1.3553328
c6gd-2xlarge,c6gd,c6gd.2xlarge,compute,8,16,474,0,aws-graviton-2,0,,1.3553328
c6gd-4xlarge,c6gd,c6gd.4xlarge,compute,16,32,950,0,aws-graviton-2,0,,1.3553328
