id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator
a0,av1,a0,general,1,0.75,0,20,intel-xeon-e5-2660,0,
a1,av1,a1,general,1,1.75,0,40,intel-xeon-e5-2660,0,
a1-v2,av2,a1 v2,general,1,2,0,10,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a2,av1,a2,general,2,3.5,0,60,intel-xeon-e5-2660,0,
a2-v2,av2,a2 v2,general,2,4,0,20,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a2m-v2,av2,a2m v2,general,2,16,0,20,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a3,av1,a3,general,4,7,0,120,intel-xeon-e5-2660,0,
a4,av1,a4,general,8,14,0,240,intel-xeon-e5-2660,0,
a4-v2,av2,a4 v2,general,4,8,0,40,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a4m-v2,av2,a4m v2,general,4,32,0,40,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a5,av1,a5,general,2,14,0,135,intel-xeon-e5-2660,0,
a6,av1,a6,general,4,28,0,285,intel-xeon-e5-2660,0,
a7,av1,a7,general,8,56,0,605,intel-xeon-e5-2660,0,
a8-v2,av2,a8 v2,general,8,16,0,80,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
a8m-v2,av2,a8m v2,general,8,64,0,80,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b12ms,bv1,b12ms,general,12,48,96,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b16als-v2,basv2,b16als v2,general,16,32,0,0,amd-epyc-7763v,0,
b16as-v2,basv2,b16as v2,general,16,64,0,0,amd-epyc-7763v,0,
b16ls-v2,bsv2,b16ls v2,general,16,32,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b16ms,bv1,b16ms,general,16,64,128,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b16pls-v2,bpsv2,b16pls v2,general,16,32,0,0,ampere-altra-q8030,0,
b16ps-v2,bpsv2,b16ps v2,general,16,64,0,0,ampere-altra-q8030,0,
b16s-v2,bsv2,b16s v2,general,16,64,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b1ls,bv1,b1ls,general,1,0.5,4,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b1ms,bv1,b1ms,general,1,2,4,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b1s,bv1,b1s,general,1,1,4,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b20ms,bv1,b20ms,general,20,80,160,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b2als-v2,basv2,b2als v2,general,2,4,0,0,amd-epyc-7763v,0,
b2as-v2,basv2,b2as v2,general,2,8,0,0,amd-epyc-7763v,0,
b2ats-v2,basv2,b2ats v2,general,2,1,0,0,amd-epyc-7763v,0,
b2ls-v2,bsv2,b2ls v2,general,2,4,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b2ms,bv1,b2ms,general,2,8,16,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b2pls-v2,bpsv2,b2pls v2,general,2,4,0,0,ampere-altra-q8030,0,
b2ps-v2,bpsv2,b2ps v2,general,2,8,0,0,ampere-altra-q8030,0,
b2pts-v2,bpsv2,b2pts v2,general,2,1,0,0,ampere-altra-q8030,0,
b2s,bv1,b2s,general,2,4,8,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b2s-v2,bsv2,b2s v2,general,2,8,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b2ts-v2,bsv2,b2ts v2,general,2,1,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b32als-v2,basv2,b32als v2,general,32,64,0,0,amd-epyc-7763v,0,
b32as-v2,basv2,b32as v2,general,32,128,0,0,amd-epyc-7763v,0,
b32ls-v2,bsv2,b32ls v2,general,32,64,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b32s-v2,bsv2,b32s v2,general,32,128,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b4als-v2,basv2,b4als v2,general,4,8,0,0,amd-epyc-7763v,0,
b4as-v2,basv2,b4as v2,general,4,16,0,0,amd-epyc-7763v,0,
b4ls-v2,bsv2,b4ls v2,general,4,8,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b4ms,bv1,b4ms,general,4,16,32,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b4pls-v2,bpsv2,b4pls v2,general,4,8,0,0,ampere-altra-q8030,0,
b4ps-v2,bpsv2,b4ps v2,general,4,16,0,0,ampere-altra-q8030,0,
b4s-v2,bsv2,b4s v2,general,4,16,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b8als-v2,basv2,b8als v2,general,8,16,0,0,amd-epyc-7763v,0,
b8as-v2,basv2,b8as v2,general,8,32,0,0,amd-epyc-7763v,0,
b8ls-v2,bsv2,b8ls v2,general,8,16,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
b8ms,bv1,b8ms,general,8,32,64,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
b8pls-v2,bpsv2,b8pls v2,general,8,16,0,0,ampere-altra-q8030,0,
b8ps-v2,bpsv2,b8ps v2,general,8,32,0,0,ampere-altra-q8030,0,
b8s-v2,bsv2,b8s v2,general,8,32,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d1,dv1,d1,general,1,3.5,50,0,intel-xeon-8272cl,0,
