id,manufacturer,serie,model,architecture,platform,cores,threads,tdp,process,die,transistors,smp
amd-epyc-7452,amd,epyc,7452,x86-64,rome,32,64,155,7,74,3800,2
amd-epyc-74f3v,amd,epyc,74f3v,x86-64,milan,24,48,240,7,324,16600,2
amd-epyc-7551,amd,epyc,7551,x86-64,naples,32,64,180,14,852,19200,2
amd-epyc-7571,amd,epyc,7571,x86-64,naples,32,64,200,14,852,19200,2
amd-epyc-7763,amd,epyc,7763,x86-64,milan,64,128,280,7,648,33200,2
amd-epyc-7763v,amd,epyc,7763v,x86-64,milan,64,128,280,7,648,33200,2
amd-epyc-7b12,amd,epyc,7b13,x86-64,milan,64,128,280,7,648,33200,2
amd-epyc-7r13,amd,epyc,7r13,x86-64,milan,48,96,225,7,648,33200,2
amd-epyc-7r32,amd,epyc,7r32,x86-64,rome,48,96,280,7,648,33200,2
amd-epyc-7v12,amd,epyc,7v12,x86-64,rome,64,128,240,7,648,33200,2
amd-epyc-7v13,amd,epyc,7v13,x86-64,milan,64,128,240,7,648,33200,2
amd-epyc-7v73x,amd,epyc,7v73x,x86-64,milan-x,64,128,280,7,648,33200,2
amd-epyc-9b14,amd,epyc,9b14,x86-64,genoa,96,192,360,5,864,78840,2
amd-epyc-9r14,amd,epyc,9r14,x86-64,genoa,96,192,360,5,864,78840,2
amd-epyc-9v33x,amd,epyc,9v33x,x86-64,genoa-x,96,192,400,5,864,135240,2
amd-epyc-9v64f,amd,epyc,9v64f,x86-64,genoa,16,32,320,5,576,52560,2
amd-epyc-9v74,amd,epyc,9v74,x86-64,genoa,80,160,400,5,864,78840,2
ampere-altra-q6430,ampere,altra,q64-30,arm-64,neoverse n1,64,64,124,7,574,52000,1
ampere-altra-q8030,ampere,altra,q80-30,arm-64,neoverse n1,80,80,161,7,574,45000,1
apple-m1,apple,m1,,arm-64,apple silicon,8,8,15,5,119,16000,1
apple-m1-ultra,apple,m1,ultra,arm-64,apple silicon,20,20,110,5,854,114000,1
apple-m2,apple,m2,,arm-64,apple silicon,8,8,15,5,153,20000,1
apple-m2-pro,apple,m2,pro,arm-64,apple silicon,12,12,40,5,245,40000,1
aws-graviton-1,aws,graviton,1,arm-64,cortex a72,16,16,40,16,200,5000,1
aws-graviton-2,aws,graviton,2,arm-64,neoverse n1,64,64,120,7,400,30000,1
aws-graviton-3,aws,graviton,3,arm-64,neoverse v1,64,64,150,7,600,55000,1
aws-graviton-4,aws,graviton,4,arm-64,neoverse v2,96,96,180,7,800,85000,1
azure-cobalt-100,azure,cobalt,100,arm-64,neoverse n2,96,96,180,7,800,85000,1
google-axion,google,axion,,arm-64,neoverse n2,96,96,180,7,800,85000,1
intel-core-i78700b,intel,core,i7-8700b,x86-64,coffee lake,6,12,65,14,154,3000,1
intel-xeon-6246r,intel,xeon,6246r,x86-64,cascade lake,16,32,205,14,694,8000,2
