id,family,category,vcpus,memory,ssd,hdd,cpu
a2-highgpu-1g,a2-highgpu-1g,accelerated,12,85,375,,intel-xeon-8273cl
a2-highgpu-2g,a2-highgpu-2g,accelerated,24,170,375,,intel-xeon-8273cl
a2-highgpu-4g,a2-highgpu-4g,accelerated,48,340,375,,intel-xeon-8273cl
a2-highgpu-8g,a2-highgpu-8g,accelerated,96,680,375,,intel-xeon-8273cl
a2-megagpu-16g,a2-megagpu-16g,accelerated,96,1360,375,,intel-xeon-8273cl
a2-ultragpu-1g,a2-ultragpu-1g,accelerated,12,170,375,,intel-xeon-8273cl
a2-ultragpu-2g,a2-ultragpu-2g,accelerated,24,340,750,,intel-xeon-8273cl
a2-ultragpu-4g,a2-ultragpu-4g,accelerated,48,680,1500,,intel-xeon-8273cl
a2-ultragpu-8g,a2-ultragpu-8g,accelerated,96,1360,3000,,intel-xeon-8273cl
a3-edgegpu-8g,a3-edgegpu-8g,accelerated,208,1872,6000,,intel-xeon-8481c
a3-highgpu-1g,a3-highgpu-1g,accelerated,26,234,750,,intel-xeon-8481c
a3-highgpu-2g,a3-highgpu-2g,accelerated,52,468,1500,,intel-xeon-8481c
a3-highgpu-4g,a3-highgpu-4g,accelerated,104,936,3000,,intel-xeon-8481c
a3-highgpu-8g,a3-highgpu-8g,accelerated,208,1872,6000,,intel-xeon-8481c
a3-megagpu-8g,a3-megagpu-8g,accelerated,208,1872,6000,,intel-xeon-8481c
a3-ultra-8g,a3-ultra-8g,accelerated,224,2952,12000,,intel-xeon-8581c
c2-standard-16,c2-standard-16,compute,16,64,375,,intel-xeon-6253cl
c2-standard-30,c2-standard-30,compute,30,120,375,,intel-xeon-6253cl
c2-standard-4,c2-standard-4,compute,4,16,375,,intel-xeon-6253cl
c2-standard-60,c2-standard-60,compute,60,240,375,,intel-xeon-6253cl
c2-standard-8,c2-standard-8,compute,8,32,375,,intel-xeon-6253cl
c2d-highcpu-112,c2d-highcpu-112,compute,112,224,375,,amd-epyc-7b13
c2d-highcpu-16,c2d-highcpu-16,compute,16,32,375,,amd-epyc-7b13
c2d-highcpu-2,c2d-highcpu-2,compute,2,4,375,,amd-epyc-7b13
c2d-highcpu-32,c2d-highcpu-32,compute,32,64,375,,amd-epyc-7b13
c2d-highcpu-4,c2d-highcpu-4,compute,4,8,375,,amd-epyc-7b13
c2d-highcpu-56,c2d-highcpu-56,compute,56,112,375,,amd-epyc-7b13
c2d-highcpu-8,c2d-highcpu-8,compute,8,16,375,,amd-epyc-7b13
c2d-highmem-112,c2d-highmem-112,compute,112,896,375,,amd-epyc-7b13
c2d-highmem-16,c2d-highmem-16,compute,16,128,375,,amd-epyc-7b13
c2d-highmem-2,c2d-highmem-2,compute,2,16,375,,amd-epyc-7b13
c2d-highmem-32,c2d-highmem-32,compute,32,256,375,,amd-epyc-7b13
c2d-highmem-4,c2d-highmem-4,compute,4,32,375,,amd-epyc-7b13
c2d-highmem-56,c2d-highmem-56,compute,56,448,375,,amd-epyc-7b13
c2d-highmem-8,c2d-highmem-8,compute,8,64,375,,amd-epyc-7b13
c2d-standard-112,c2d-standard-112,compute,112,448,375,,amd-epyc-7b13
c2d-standard-16,c2d-standard-16,compute,16,64,375,,amd-epyc-7b13
c2d-standard-2,c2d-standard-2,compute,2,8,375,,amd-epyc-7b13
c2d-standard-32,c2d-standard-32,compute,32,128,375,,amd-epyc-7b13
c2d-standard-4,c2d-standard-4,compute,4,16,375,,amd-epyc-7b13
c2d-standard-56,c2d-standard-56,compute,56,224,375,,amd-epyc-7b13
c2d-standard-8,c2d-standard-8,compute,8,32,375,,amd-epyc-7b13
c3-highcpu-176,c3-highcpu-176,general,176,352,0,,intel-xeon-8481c
c3-highcpu-192-metal,c3-highcpu-192-metal,general,192,512,0,,intel-xeon-8481c
c3-highcpu-22,c3-highcpu-22,general,22,44,0,,intel-xeon-8481c
c3-highcpu-4,c3-highcpu-4,general,4,8,0,,intel-xeon-8481c
c3-highcpu-44,c3-highcpu-44,general,44,88,0,,intel-xeon-8481c
c3-highcpu-8,c3-highcpu-8,general,8,16,0,,intel-xeon-8481c
c3-highcpu-88,c3-highcpu-88,general,88,176,0,,intel-xeon-8481c
c3-highmem-176,c3-highmem-176,general,176,1408,0,,intel-xeon-8481c
c3-highmem-192-metal,c3-highmem-192-metal,general,192,1536,0,,intel-xeon-8481c
c3-highmem-22,c3-highmem-22,general,22,176,0,,intel-xeon-8481c
c3-highmem-4,c3-highmem-4,general,4,32,0,,intel-xeon-8481c
c3-highmem-44,c3-highmem-44,general,44,352,0,,intel-xeon-8481c
