id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator,embodied
bm-standard3-64,standard3,BM.Standard3.64,general,128,1024,0,0,intel-xeon-8358,0,,1
bm-standard-e4-128,standarde4,BM.Standard.E4.128,general,256,2048,0,0,amd-epyc-7j13,0,,1
bm-standard-e5-192,standarde5,BM.Standard.E5.192,general,384,2304,0,0,amd-epyc-9j14,0,,1
bm-standard-e6-256,standarde6,BM.Standard.E6.256,general,512,3072,1920,0,amd-epyc-9j45,0,,1
bm-standard-a1-160,standarda1,BM.Standard.A1.160,general,160,1024,0,0,ampere-altra-q8030,0,,1
bm-standard-a4-48,standarda4,BM.Standard.A4.48,general,96,768,3840,0,ampere-ampereone-m-a0636m,0,,1
bm-denseio-e4-128,denseioe4,BM.DenseIO.E4.128,storage,256,2048,54400,0,amd-epyc-7j13,0,,1
bm-denseio-e5-128,denseioe5,BM.DenseIO.E5.128,storage,256,1536,81600,0,amd-epyc-9j14,0,,1
bm-gpu2-2,gpu2,BM.GPU2.2,accelerated,56,192,0,0,intel-xeon-8167m,2,nvidia-tesla-p10016,1
bm-gpu3-8,gpu3,BM.GPU3.8,accelerated,104,768,0,0,intel-xeon-8167m,8,nvidia-tesla-v10016,1
bm-gpu4-8,gpu4,BM.GPU4.8,accelerated,128,2048,27200,0,amd-epyc-7542,8,nvidia-tesla-a10040,1
bm-gpu-a10-4,gpua10,BM.GPU.A10.4,accelerated,128,1024,7680,0,intel-xeon-8358,4,nvidia-tesla-a10,1
bm-gpu-a100-v2-8,gpua100v2,BM.GPU.A100-v2.8,accelerated,256,2048,27200,0,amd-epyc-7j13,8,nvidia-tesla-a10080,1
bm-gpu-mi300x-8,gpumi300x,BM.GPU.MI300X.8,accelerated,224,2048,30720,0,intel-xeon-8480plus,8,amd-radeon-mi300x,1
bm-gpu-mi355x-8,gpumi355x,BM.GPU.MI355X.8,accelerated,256,3072,61440,0,amd-epyc-5thgen-64c,8,amd-radeon-mi355x,1
bm-gpu-l40s-4,gpul40s,BM.GPU.L40S.4,accelerated,224,1024,7680,0,intel-xeon-8480plus,4,nvidia-tesla-l40s,1
bm-gpu-h100-8,gpuh100,BM.GPU.H100.8,accelerated,224,2048,61440,0,intel-xeon-8480plus,8,nvidia-tesla-h10080,1
bm-gpu-h200-8,gpuh200,BM.GPU.H200.8,accelerated,224,3072,30720,0,intel-xeon-8480plus,8,nvidia-tesla-h200,1
bm-gpu-b200-8,gpub200,BM.GPU.B200.8,accelerated,256,4096,30720,0,intel-xeon-8592plus,8,nvidia-blackwell-b200,1
bm-gpu-gb200-4,gpugb200,BM.GPU.GB200.4,accelerated,144,960,30720,0,nvidia-grace,4,nvidia-blackwell-b200,1
bm-gpu-gb300-4,gpugb300,BM.GPU.GB300.4,accelerated,144,960,30720,0,nvidia-grace,4,nvidia-blackwell-b300,1
bm-optimized3-36,optimized3,BM.Optimized3.36,performance,72,512,3840,0,intel-xeon-6354,0,,1
bm-hpc-e5-144,hpce5,BM.HPC.E5.144,performance,288,768,3840,0,amd-epyc-9j14,0,,1
vm-standard-e2-1-micro,standarde2,VM.Standard.E2.1.Micro,general,2,1,0,0,"amd-epyc-7551,amd-epyc-7742,amd-epyc-7j13",0,,1
vm-standard3-flex-1ocpu-16gb,standard3flex,VM.Standard3.Flex (1 OCPU / 16 GB),general,2,16,0,0,intel-xeon-8358,0,,1
vm-standard3-flex-2ocpu-32gb,standard3flex,VM.Standard3.Flex (2 OCPU / 32 GB),general,4,32,0,0,intel-xeon-8358,0,,1
vm-standard3-flex-4ocpu-64gb,standard3flex,VM.Standard3.Flex (4 OCPU / 64 GB),general,8,64,0,0,intel-xeon-8358,0,,1
vm-standard3-flex-8ocpu-128gb,standard3flex,VM.Standard3.Flex (8 OCPU / 128 GB),general,16,128,0,0,intel-xeon-8358,0,,1
vm-standard3-flex-16ocpu-256gb,standard3flex,VM.Standard3.Flex (16 OCPU / 256 GB),general,32,256,0,0,intel-xeon-8358,0,,1
vm-standard3-flex-32ocpu-512gb,standard3flex,VM.Standard3.Flex (32 OCPU / 512 GB),general,64,512,0,0,intel-xeon-8358,0,,1
vm-standard-e4-flex-1ocpu-16gb,standarde4flex,VM.Standard.E4.Flex (1 OCPU / 16 GB),general,2,16,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-2ocpu-32gb,standarde4flex,VM.Standard.E4.Flex (2 OCPU / 32 GB),general,4,32,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-4ocpu-64gb,standarde4flex,VM.Standard.E4.Flex (4 OCPU / 64 GB),general,8,64,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-8ocpu-128gb,standarde4flex,VM.Standard.E4.Flex (8 OCPU / 128 GB),general,16,128,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-16ocpu-256gb,standarde4flex,VM.Standard.E4.Flex (16 OCPU / 256 GB),general,32,256,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-32ocpu-512gb,standarde4flex,VM.Standard.E4.Flex (32 OCPU / 512 GB),general,64,512,0,0,amd-epyc-7j13,0,,1
vm-standard-e4-flex-64ocpu-1024gb,standarde4flex,VM.Standard.E4.Flex (64 OCPU / 1024 GB),general,128,1024,0,0,amd-epyc-7j13,0,,1
vm-standard-e5-flex-1ocpu-8gb,standarde5flex,VM.Standard.E5.Flex (1 OCPU / 8 GB),general,2,8,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-2ocpu-16gb,standarde5flex,VM.Standard.E5.Flex (2 OCPU / 16 GB),general,4,16,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-4ocpu-32gb,standarde5flex,VM.Standard.E5.Flex (4 OCPU / 32 GB),general,8,32,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-8ocpu-64gb,standarde5flex,VM.Standard.E5.Flex (8 OCPU / 64 GB),general,16,64,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-16ocpu-128gb,standarde5flex,VM.Standard.E5.Flex (16 OCPU / 128 GB),general,32,128,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-32ocpu-256gb,standarde5flex,VM.Standard.E5.Flex (32 OCPU / 256 GB),general,64,256,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-64ocpu-512gb,standarde5flex,VM.Standard.E5.Flex (64 OCPU / 512 GB),general,128,512,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-96ocpu-768gb,standarde5flex,VM.Standard.E5.Flex (96 OCPU / 768 GB),general,192,768,0,0,amd-epyc-9j14,0,,1
vm-standard-e5-flex-126ocpu-1008gb,standarde5flex,VM.Standard.E5.Flex (126 OCPU / 1008 GB),general,252,1008,0,0,amd-epyc-9j14,0,,1
vm-standard-e6-flex-1ocpu-11gb,standarde6flex,VM.Standard.E6.Flex (1 OCPU / 11 GB),general,2,11,0,0,amd-epyc-9j45,0,,1
