id,name,provider,lat,lon,location,country,subdivision,pue,wue,ref
par,eu-west-par,ovhcloud,48.86,2.35,Paris,fr,,1.6,,
bhs,ca-east-bhs,ovhcloud,45.32,-73.870003,Beauharnois,ca,qc,1.25,1.33,
eri,eu-west-eri,ovhcloud,51.4832,0.17484,Erith,gb,,1.26,0.21,
gra,eu-west-gra,ovhcloud,50.98333,2.125,Gravelines,fr,,1.22,0.2,
hil,us-west-hil,ovhcloud,45.522896,-122.98983,Hillsboro,us,or,1.35,0.53,
lim,eu-west-lim,ovhcloud,50.398601,8.079578,Limburg,de,,1.24,0.35,
rbx,eu-west-rbx,ovhcloud,50.683636,3.165532,Roubaix,fr,,1.29,0.39,
sbg,eu-west-sbg,ovhcloud,48.583328,7.75,Strasbourg,fr,,1.21,0.5,
vin,us-east-vin,ovhcloud,-77.67379,38.7464553,Vint Hill,us,va,1.39,0.1,
waw,eu-central-waw,ovhcloud,52.237049,21.017532,Warsaw,pl,,1.25,0.6,
mum,ap-south-mum,ovhcloud,19.08,72.88,Mumbai,in,,1.58,,
sgp,ap-southeast-sgp,ovhcloud,1.37,103.8,Singapore,sg,,1.72,,
syd,ap-southeast-syd,ovhcloud,-33.86,151.2,Sydney,au,,1.3,,
yyz,ca-east-tor,ovhcloud,43.653,-79.383,Toronto,ca,on,1.6,,
ams,ams,ovhcloud,52.377956,4.89707,Amsterdam,nl,,1.6,,
blr,blr,ovhcloud,12.971599,77.594566,Bengalore,in,,1.6,,
mad,mad,ovhcloud,40.4167754,-3.7037902,Madrid,es,,1.6,,
mil,eu-south-mil,ovhcloud,45.43,9.29,Milan,it,,1.6,,
mrs,mrs,ovhcloud,43.8345,2.1972,Marseille,fr,,1.6,,
prg,prg,ovhcloud,50.073658,14.41854,Prague,cz,,1.6,,
zrh,zrh,ovhcloud,47.376887,8.541694,Zurich,ch,,1.6,,
