id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator,embodied
b3-8,b3,b3-8,general,2,8,50,0,amd-epyc-9r14,0,,1
b3-16,b3,b3-16,general,4,16,100,0,amd-epyc-9r14,0,,1
b3-32,b3,b3-32,general,8,32,200,0,amd-epyc-9r14,0,,1
b3-64,b3,b3-64,general,16,64,400,0,amd-epyc-9r14,0,,1
b3-128,b3,b3-128,general,32,128,400,0,amd-epyc-9r14,0,,1
b3-256,b3,b3-256,general,64,256,400,0,amd-epyc-9r14,0,,1
b3-512,b3,b3-512,general,128,512,400,0,amd-epyc-9r14,0,,1
b3-640,b3,b3-640,general,160,640,400,0,amd-epyc-9r14,0,,1
b2-7,b2,b2-7,general,2,7,50,0,amd-epyc-7r32,0,,1
b2-15,b2,b2-15,general,4,15,100,0,amd-epyc-7r32,0,,1
b2-30,b2,b2-30,general,8,30,200,0,amd-epyc-7r32,0,,1
b2-60,b2,b2-60,general,16,60,400,0,amd-epyc-7r32,0,,1
b2-120,b2,b2-120,general,32,120,400,0,amd-epyc-7r32,0,,1
c3-4,c3,c3-4,compute,2,4,50,0,amd-epyc-9r14,0,,1
c3-8,c3,c3-8,compute,4,8,100,0,amd-epyc-9r14,0,,1
c3-16,c3,c3-16,compute,8,16,200,0,amd-epyc-9r14,0,,1
c3-32,c3,c3-32,compute,16,32,400,0,amd-epyc-9r14,0,,1
c3-64,c3,c3-64,compute,32,64,400,0,amd-epyc-9r14,0,,1
c3-128,c3,c3-128,compute,64,128,400,0,amd-epyc-9r14,0,,1
c3-256,c3,c3-256,compute,128,256,400,0,amd-epyc-9r14,0,,1
c3-320,c3,c3-320,compute,160,320,400,0,amd-epyc-9r14,0,,1
c2-7,c2,c2-7,compute,2,7,50,0,amd-epyc-7r32,0,,1
c2-15,c2,c2-15,compute,4,15,100,0,amd-epyc-7r32,0,,1
c2-30,c2,c2-30,compute,8,30,200,0,amd-epyc-7r32,0,,1
c2-60,c2,c2-60,compute,16,60,400,0,amd-epyc-7r32,0,,1
c2-120,c2,c2-120,compute,32,120,400,0,amd-epyc-7r32,0,,1
r3-16,r3,r3-16,memory,2,16,50,0,amd-epyc-9r14,0,,1
r3-32,r3,r3-32,memory,4,32,100,0,amd-epyc-9r14,0,,1
r3-64,r3,r3-64,memory,8,64,200,0,amd-epyc-9r14,0,,1
r3-128,r3,r3-128,memory,16,128,400,0,amd-epyc-9r14,0,,1
r3-256,r3,r3-256,memory,32,256,400,0,amd-epyc-9r14,0,,1
r3-512,r3,r3-512,memory,64,512,400,0,amd-epyc-9r14,0,,1
r3-1024,r3,r3-1024,memory,128,1024,400,0,amd-epyc-9r14,0,,1
r2-15,r2,r2-15,memory,2,15,50,0,amd-epyc-7r32,0,,1
r2-30,r2,r2-30,memory,2,30,50,0,amd-epyc-7r32,0,,1
r2-60,r2,r2-60,memory,4,60,100,0,amd-epyc-7r32,0,,1
r2-120,r2,r2-120,memory,8,120,200,0,amd-epyc-7r32,0,,1
r2-240,r2,r2-240,memory,16,240,400,0,amd-epyc-7r32,0,,1
i1-45,i1,i1-45,storage,8,45,50,1900,amd-epyc-7r32,0,,1
i1-90,i1,i1-90,storage,16,90,50,3800,amd-epyc-7r32,0,,1
i1-180,i1,i1-180,storage,32,180,50,7600,amd-epyc-7r32,0,,1
d2-2,d2,d2-2,general,1,2,0,25,amd-epyc-7r32,0,,1
d2-4,d2,d2-4,general,2,4,0,50,amd-epyc-7r32,0,,1
d2-8,d2,d2-8,general,4,8,0,50,amd-epyc-7r32,0,,1
l40s-90,l40s,l40s-90,accelerated,15,90,400,0,amd-epyc-9r14,1,nvidia-tesla-l40s,1
l40s-180,l40s,l40s-180,accelerated,30,180,400,0,amd-epyc-9r14,2,nvidia-tesla-l40s,1
l40s-360,l40s,l40s-360,accelerated,60,360,400,0,amd-epyc-9r14,4,nvidia-tesla-l40s,1
a10-45,a10,a10-45,accelerated,30,45,400,0,amd-epyc-7r32,1,nvidia-tesla-a10,1
a10-90,a10,a10-90,accelerated,60,90,400,0,amd-epyc-7r32,2,nvidia-tesla-a10,1
a10-180,a10,a10-180,accelerated,120,180,400,0,amd-epyc-7r32,4,nvidia-tesla-a10,1
a100-180,a100,a100-180,accelerated,15,180,300,0,amd-epyc-9r14,1,nvidia-tesla-a10080,1
a100-360,a100,a100-360,accelerated,30,360,500,0,amd-epyc-9r14,2,nvidia-tesla-a10080,1
a100-720,a100,a100-720,accelerated,60,720,500,0,amd-epyc-9r14,4,nvidia-tesla-a10080,1
h100-380,h100,h100-380,accelerated,30,380,4040,0,amd-epyc-9r14,1,nvidia-tesla-h10080,1
h100-760,h100,h100-760,accelerated,60,760,7880,0,amd-epyc-9r14,2,nvidia-tesla-h10080,1
h100-1520,h100,h100-1520,accelerated,120,1520,15560,0,amd-epyc-9r14,4,nvidia-tesla-h10080,1
l4-90,l4,l4-90,accelerated,22,90,400,0,amd-epyc-9r14,1,nvidia-tesla-l4,1
l4-180,l4,l4-180,accelerated,45,180,400,0,amd-epyc-9r14,2,nvidia-tesla-l4,1
l4-360,l4,l4-360,accelerated,90,360,400,0,amd-epyc-9r14,4,nvidia-tesla-l4,1
rtx5000-28,rtx5000,rtx5000-28,accelerated,4,28,400,0,amd-epyc-7r32,1,nvidia-quadro-rtx5000,1
rtx5000-56,rtx5000,rtx5000-56,accelerated,8,56,400,0,amd-epyc-7r32,2,nvidia-quadro-rtx5000,1
rtx5000-84,rtx5000,rtx5000-84,accelerated,16,84,400,0,amd-epyc-7r32,3,nvidia-quadro-rtx5000,1
t1-le-45,t1-le,t1-le-45,accelerated,8,45,300,0,amd-epyc-7371,1,nvidia-tesla-v10016,1
t1-le-90,t1-le,t1-le-90,accelerated,16,90,400,0,amd-epyc-7371,2,nvidia-tesla-v10016,1
t1-le-180,t1-le,t1-le-180,accelerated,32,180,400,0,amd-epyc-7371,4,nvidia-tesla-v10016,1
bm-s1,bm,bm-s1,performance,4,32,1920,0,intel-xeon-e2274g,0,,1
bm-m1,bm,bm-m1,performance,8,64,1920,0,intel-xeon-e2288g,0,,1
bm-l1,bm,bm-l1,performance,16,128,1920,0,amd-epyc-7371,0,,1
