origin,destination,distance
AD,AD,0
AD,AE,5219.961593
AD,AF,5705.717586
AD,AG,6569.940072
AD,AI,6591.823599
AD,AL,1542.517822
AD,AM,3598.75135
AD,AN,7512.932869
AD,AO,6202.438018
AD,AR,11148.95509
AD,AT,1155.851444
AD,AU,15277.05423
AD,AW,7565.609248
AD,AZ,3800.028479
AD,BA,1309.303837
AD,BB,6668.034465
AD,BD,8157.703283
AD,BE,911.4685584
AD,BF,3383.908794
AD,BG,1947.239797
AD,BH,4793.592531
AD,BI,5846.559865
AD,BJ,3696.615288
AD,BM,5818.17318
AD,BN,11518.74592
AD,BO,9324.179474
AD,BR,8343.525682
AD,BS,7291.422009
AD,BT,7893.990125
AD,BW,7592.6317
AD,BY,2295.923018
AD,BZ,8733.660076
AD,CA,7140.941179
AD,CC,11346.51417
AD,CF,4964.589607
AD,CG,4964.589607
AD,CH,706.6956529
AD,CI,3955.131066
AD,CK,17079.14225
AD,CL,11426.01982
AD,CM,4051.174784
AD,CN,8292.572019
AD,CO,8510.584013
AD,CR,8897.849633
AD,CU,7563.096168
AD,CV,3826.490382
AD,CX,11941.95053
AD,CY,2858.536874
AD,CZ,1335.953844
AD,DE,1169.273745
AD,DJ,5218.484258
AD,DK,1626.38805
AD,DM,6653.464911
AD,DO,7136.666354
AD,DZ,1613.709186
AD,EC,9311.852697
AD,EE,2407.977406
AD,EG,3166.423008
AD,EH,2434.212704
AD,ER,4738.12653
AD,ES,502.0253723
AD,ET,5298.660767
AD,FI,2677.01973
AD,FJ,17120.09574
AD,FK,12024.55461
AD,FM,13630.33104
AD,FO,2223.601795
AD,FR,412.228846
AD,GA,4923.445195
AD,GB,1472.494491
AD,GD,6903.607941
AD,GE,3391.608758
AD,GF,6884.303159
AD,GH,3855.893381
AD,GI,929.1835323
AD,GL,4016.432793
AD,GM,3621.33163
AD,GN,3788.072987
AD,GP,6596.698926
AD,GQ,4628.593224
AD,GR,1740.679444
AD,GT,8975.677903
AD,GW,3783.79142
AD,GY,7257.166058
AD,HK,10027.42576
AD,HN,8698.400584
AD,HR,1125.766719
AD,HT,7293.813766
AD,HU,1497.465978
AD,ID,11875.94263
AD,IE,1410.236966
AD,IL,3198.692185
AD,IN,7463.850092
AD,IQ,3793.240459
AD,IR,4655.30708
AD,IS,2807.666093
AD,IT,905.6335923
AD,JM,7763.399774
AD,JO,3337.648743
AD,JP,10217.143
AD,KE,5959.884109
AD,KG,5860.112799
AD,KH,10131.19484
AD,KI,15554.70666
AD,KM,7424.97179
AD,KN,6629.406431
AD,KP,9315.806106
AD,KR,9724.371562
AD,KW,4325.3908
AD,KY,7929.050797
AD,KZ,4992.084671
AD,LA,9377.597728
AD,LB,3121.480485
AD,LC,6731.377699
AD,LK,8530.653938
AD,LR,4160.141659
AD,LS,8473.498968
AD,LT,2134.209549
AD,LU,879.8394798
AD,LV,2275.960959
AD,LY,2294.701405
AD,MA,1420.682746
AD,MD,2162.063718
AD,MG,8243.2402
AD,MH,14391.1522
AD,MK,1661.86839
AD,ML,2827.270146
AD,MM,8721.678405
AD,MN,7478.751967
AD,MO,10003.8156
AD,MP,12394.61584
AD,MQ,6681.480356
AD,MR,2665.331467
AD,MS,6624.552756
AD,MT,1320.652131
AD,MU,9037.75948
AD,MV,8267.53719
AD,MW,7045.034817
AD,MX,9330.703706
AD,MY,10534.79742
AD,MZ,7642.638601
AD,NA,7487.098057
AD,NC,17184.27932
AD,NE,2840.061549
AD,NF,18078.66467
AD,NG,3784.554202
AD,NI,8786.121346
AD,NL,1101.240601
AD,NO,2046.491463
