alpha-2,distance
AD,12.008
AE,163.183
AF,455.642
AG,11.861
AI,5.698
AL,95.66
AM,97.394
AO,629.95
AQ,2119.104
AR,938.471
AS,7.959
AT,163.379
AU,1564.225
AW,7.838
AX,22.44
AZ,166.029
BA,127.703
BB,11.713
BD,214.093
BE,102.667
BF,295.433
BG,187.964
BH,14.691
BI,94.127
BJ,189.338
BL,2.764
BM,4.107
BN,42.838
BO,591.345
BQ,10.218
BR,1646.034
BS,66.61
BT,121.818
BV,3.949
BW,437.155
BY,257.059
BZ,85.495
CA,1782.756
CA-AB,458.991
CA-BC,548.378
CA-MB,454.093
CA-NB,152.34
CA-NL,359.142
CA-NS,132.655
CA-NT,654.583
CA-NU,816.262
CA-ON,585.344
CA-PE,42.446
CA-QC,700.608
CA-SK,455.227
CA-YT,391.875
CC,2.111
CD,329.942
CF,445.311
CG,329.942
CH,114.64
CI,320.38
CK,8.74
CL,490.86
CM,389.022
CN,1745.561
CO,602.851
CR,127.507
CU,187.851
CV,35.829
CW,11.888
CX,6.555
CY,54.265
CZ,158.44
DE,337.254
DJ,85.935
DK,117.121
DM,15.461
DO,124.549
DZ,870.708
EC,296.248
EE,119.984
EG,564.598
EH,290.982
ER,196.513
ES,401.311
ET,598.979
FI,327.324
FJ,76.391
FK,62.248
FM,15.002
FO,21.103
FR,417.281
GA,291.892
GB,278.752
GD,10.479
GE,148.95
GF,170.195
GG,4.514
GH,275.552
GI,1.493
GL,830.353
GM,59.961
GN,279.748
GP,23.803
GQ,94.493
GR,204.686
GS,35.247
GT,186.173
GU,13.219
GW,107.233
GY,261.586
HK,18.644
HM,10.823
HN,188.888
HR,134.151
HT,93.985
HU,172.084
ID,784.54
IE,149.574
IL,82.959
IM,13.493
IN,1022.972
IO,4.37
IQ,372.994
IR,724.297
IS,180.91
IT,309.7
JE,6.18
JM,59.148
JO,170.999
JP,346.782
KE,430.653
KG,251.365
KH,240.053
KI,15.107
KM,24.345
KN,9.253
KP,195.879
KR,177.952
KW,75.31
KY,9.132
KZ,930.023
LA,274.547
LB,57.68
LC,14.014
LI,7.136
LK,144.514
LR,188.281
LS,98.297
LT,144.172
LU,28.691
LV,143.385
LY,748.384
MA,475.679
MC,8.137
MD,103.571
ME,66.306
MF,4.107
MG,432.274
MH,7.59
MK,90.469
ML,628.291
MM,464.729
MN,705.914
MO,2.821
MP,12.322
MQ,18.712
MR,572.784
MS,5.698
MT,10.029
MU,25.514
MV,9.739
MW,194.203
MX,791.317
MY,323.983
MZ,505.128
NA,512.611
NC,77.891
NE,635.058
NF,3.338
NG,542.259
NI,203.945
NL,115.436
NO,321.019
NP,216.447
NR,2.585
NU,9.097
NZ,292.442
OM,260.004
PA,155.176
PE,639.607
PF,36.42
PG,383.831
PH,309.019
PK,530.12
PL,315.485
PM,8.777
PN,3.868
PR,53.832
PS,44.625
PT,171.489
PW,12.451
PY,359.824
QA,60.337
RE,28.305
RO,275.467
RS,167.84
RU,2331.366
RW,91.562
SA,827.874
SB,97.37
SC,12.035
SD,893.099
SE,378.455
SG,14.34
SH,11.424
SI,80.297
SJ,139.37
SK,124.935
SL,152.776
SM,4.406
SN,250.237
SO,450.525
SR,228.354
SS,444.152
ST,17.517
SV,81.839
SX,5.293
SY,242.013
SZ,74.345
TC,11.699
TD,639.305
TF,49.92
TG,134.444
TH,404.141
TJ,213.421
TK,1.784
TL,68.808
TM,394.166
TN,228.584
TO,15.43
TR,498.463
TT,40.41
TV,2.877
TW,106.861
TZ,548.481
UA,438.356
UG,276.992
UM,3.949
US,1768.665
US-AK,739.466
US-AL,207.883
US-AZ,306.565
US-AR,209.384
US-CA,367.361
US-CO,292.945
US-CT,67.602
US-DE,45.301
US-FL,232.829
US-GA,221.339
US-HI,94.93
US-ID,262.482
US-IL,218.508
US-IN,173.272
US-IA,215.387
US-KS,260.443
US-KY,182.521
US-LA,206.731
US-ME,170.798
US-MD,101.135
US-MA,93.281
US-MI,282.373
US-MN,267.72
US-MS,199.817
US-MO,239.72
US-MT,348.171
US-NE,252.531
US-NV,301.908
US-NH,87.796
US-NJ,84.794
US-NM,316.608
US-NY,212.078
US-NC,210.639
US-ND,241.426
US-OH,192.236
US-OK,240.053
US-OR,284.793
US-PA,194.856
US-RI,35.691
US-SC,162.475
US-SD,252.144
US-TN,186.397
US-TX,470.894
US-UT,264.56
US-VT,89.029
US-VA,187.787
US-WA,242.447
US-WV,141.335
US-WI,232.374
US-WY,283.971
UY,236.835
UZ,377.375
VA,0.564
VC,11.128
VE,538.773
VG,6.979
VI,10.495
VN,324.649
VU,68.551
WF,9.339
WS,30.077
XK,58.925
YE,417.365
YT,10.911
ZA,623.145
ZM,489.453
ZW,352.679
