id,location,period,unit,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu,source,sourceUrl
electricity-grid,FR,2019,kWh,4.31089e-7,0.000126974,0.0416151,1.07122e-9,5.72388e-9,0.0483216,0.0114427,0.00000214555,0.100703,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2020,kWh,4.54706e-7,0.000130608,0.0426415,4.1381e-8,2.61022e-8,0.0484883,0.010982,0.0000022815,0.0961759,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2021,kWh,4.58336e-7,0.000140744,0.0445266,1.27164e-7,7.04255e-8,0.0526014,0.0112154,0.00000240661,0.0987945,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2022,kWh,5.54581e-7,0.00018163,0.052029,8.28272e-7,4.27472e-7,0.0758878,0.0107389,0.00000368641,0.0925376,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2023,kWh,5.65241e-7,0.00012294,0.0423026,1.33586e-9,5.54241e-9,0.0413452,0.0108205,0.00000193624,0.0940838,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2024,kWh,5.5629e-7,0.000117186,0.0393794,1.23342e-9,5.38252e-9,0.0300384,0.0109222,0.00000209251,0.0957759,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2025,kWh,6.27444e-7,0.000128233,0.0410695,1.29784e-9,5.70153e-9,0.0319271,0.011138,0.00000238208,0.0972727,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,FR,2026,kWh,6.90099e-7,0.000129152,0.0407665,1.31544e-9,5.602e-9,0.0300553,0.0110186,0.00000238625,0.0955298,Digital4Better Data - annual country electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/country-yearly.json
electricity-grid,EU,2019,kWh,7.25538e-7,0.000811912,0.142865,0.0000437254,0.0000222541,0.330623,0.00754078,0.000050925,0.0665982,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2020,kWh,7.70537e-7,0.00079928,0.135949,0.0000460634,0.0000234411,0.310528,0.00727832,0.0000533771,0.0637334,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2021,kWh,7.77901e-7,0.000806673,0.138629,0.0000446639,0.0000227302,0.317827,0.00741668,0.0000521085,0.0650083,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2022,kWh,8.4663e-7,0.000816831,0.139067,0.0000461296,0.0000234751,0.317873,0.00730963,0.0000537381,0.0632659,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2023,kWh,9.03751e-7,0.000777688,0.130752,0.0000466822,0.0000237541,0.293345,0.00709914,0.0000538396,0.0603183,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2024,kWh,9.57313e-7,0.000762248,0.12634,0.0000459747,0.0000233934,0.279883,0.0070024,0.0000533128,0.0586688,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2025,kWh,0.00000103468,0.000757566,0.12593,0.0000457608,0.0000232844,0.279312,0.00713241,0.0000528904,0.0588426,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
electricity-grid,EU,2026,kWh,0.00000110557,0.000739464,0.121155,0.0000452844,0.0000230412,0.264582,0.00697,0.0000524386,0.0563949,Digital4Better Data - annual continent electricity factors,https://raw.githubusercontent.com/digital4better/data/main/data/factor/continent-yearly.json
natural-gas-pci,FR,2025,kWh,,,,,,0.239,,,,ADEME Base Carbone V23.6 - element 37132,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=37132
natural-gas-pcs,FR,2025,kWh,,,,,,0.215,,,,ADEME Base Carbone V23.6 - element 37133,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=37133
natural-gas-pci,EU,2018,kWh,,,,,,0.243,,,,ADEME Base Carbone V23.6 - element 13515,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=13515
natural-gas-pcs,EU,2017,kWh,,,,,,0.213,,,,ADEME Base Carbone V23.6 - element 15312,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=15312
heating-oil-pci,FR,2017,kWh,,,,,,0.325,,,,ADEME Base Carbone V23.6 - element 14085,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=14085
heating-oil-pci,EU,2017,kWh,,,,,,0.324,,,,ADEME Base Carbone V23.6 - element 14084,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=14084
propane-pci,FR,2017,kWh,,,,,,0.271,,,,ADEME Base Carbone V23.6 - element 13558,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=13558
propane-pci,EU,2017,kWh,,,,,,0.268,,,,ADEME Base Carbone V23.6 - element 13557,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=13557
wood-pellets-pci,FR,2025,kWh,,,,,,0.0113,,,,ADEME Base Carbone V23.6 - element 34942,https://data.ademe.fr/data-fair/api/v1/datasets/base-carboner/lines?size=3&q=34942
