continent,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
Asia,2019,0.000001944371935446492,0.0003418674047331381,0.04414257047934439,1.7093711367886177e-9,5.728176207922361e-9,0.025114287083512325,0.0036098250610071205,0.000007733243286693227,0.016664441859017044
Europe,2019,7.708864303337734e-7,0.00027153413045270716,0.04213277990290073,2.195123537151911e-9,3.827951251130128e-9,0.01944808500300251,0.001783515908021332,0.000007250798582559746,0.0119376578269205
Africa,2019,0.000001995464132467265,0.0001791646039119809,0.04851026285405278,2.0437458550881683e-9,4.930105582655619e-9,0.020527513576301257,0.0035777522697044,0.0000017613227834568529,0.011721554141147677
South America,2019,1.8535013937423629e-7,0.00008505325962251629,0.02992638354502463,6.840980763179003e-10,1.8219385431960854e-9,0.012248358400576859,0.001004601698088443,0.000001300907646693184,0.0034917715519363277
North America,2019,0.0000011752458263375295,0.00034053401343017996,0.04755873573789997,2.7587133363986854e-9,4.816342105692245e-9,0.02264288786563932,0.002345861627331581,0.00000913716087470688,0.015508897643533744
Oceania,2019,0.0000014671404859494391,0.00016194008526772502,0.04774565647685721,2.3804567967779314e-9,4.146139680008719e-9,0.018182885298440695,0.002730754134459314,0.000002118793919311903,0.010145098570445413
Asia,2020,0.0000019770966996453024,0.00033844585251351696,0.04464851419089768,1.7506985259907642e-9,5.757677707645103e-9,0.025112914269769644,0.0036521167632905817,0.00000755727181633865,0.01665797316721685
Europe,2020,8.125728543005938e-7,0.00026711924562014474,0.04276973129260149,2.2469760753868195e-9,3.8650243919090665e-9,0.019443836379111245,0.0018373810498661701,0.000007024644246670628,0.011927074576628708
Africa,2020,0.0000020140315392712346,0.00018304699667535645,0.047547867679443696,1.897251665528515e-9,4.960467163718711e-9,0.020716765737912098,0.003624843415545972,0.0000018512651253089726,0.01179350660195697
South America,2020,2.1423442398720593e-7,0.00008816968772859848,0.03048361759633048,7.444372137860347e-10,1.885094441404675e-9,0.01242528502083121,0.001041883334077428,0.0000013716528152822377,0.0037013411844670652
North America,2020,0.0000012618187661394032,0.0003307206283800685,0.04890410504308825,2.869065434488982e-9,4.8899255111528875e-9,0.02261397358081738,0.0024570423718571228,0.0000086445425023895,0.015467772514980634
Oceania,2020,0.0000015437395450145987,0.00016235556197920266,0.048396716698331274,2.4146969408663075e-9,4.2548419942222534e-9,0.018428954439565003,0.0028406556735096115,0.0000020059522228778294,0.010361953663223438
Asia,2021,0.0000020052018012484877,0.00034371682292284644,0.045672428467947175,1.8788715764067483e-9,5.840059871060532e-9,0.025348647123793863,0.0036815107107103246,0.000007715511714804808,0.01698092872438705
Europe,2021,8.683496910020509e-7,0.00027817550600124375,0.043140159062596876,2.2720231568493445e-9,4.004368744944382e-9,0.019938137973102333,0.0019222028824965728,0.000007333549404479917,0.012434408215901036
Africa,2021,0.0000020140699994236076,0.00018282856427637915,0.04759164988853124,1.903050996713927e-9,4.959974032804183e-9,0.020710099404676822,0.0036241267123694586,0.0000018439593560351826,0.011790371770751179
South America,2021,2.7119062952475093e-7,0.00009005126379999692,0.031799025955313566,8.880341400391293e-10,1.98861655497082e-9,0.01264730683694885,0.0011105980334647696,0.0000013591419483842033,0.003992510231644918
North America,2021,0.0000013767240042837661,0.00032959426342290643,0.050420937920064565,2.992621861003145e-9,5.051927909878446e-9,0.022929700058213598,0.0026129266957642763,0.000008419960433792899,0.01578437160918682
Oceania,2021,0.00000161499682687675,0.00016432823215923914,0.049035607401149,2.452619874220529e-9,4.365764377907755e-9,0.01870589139029075,0.002943057333664165,0.000001959069107191939,0.010619231886025754
Asia,2022,0.0000020459838383167992,0.000344174386970326,0.046236644112701876,1.927105953470178e-9,5.9029848443783136e-9,0.025486602922975467,0.003736798489493338,0.000007667332474068304,0.017124053003683602
Europe,2022,9.81784863539789e-7,0.00027380364568865275,0.044539445185508945,2.3752506117971004e-9,4.144037038630088e-9,0.020157097145101922,0.0020769513024048087,0.000006990755923769687,0.012628513038205409
Africa,2022,0.000001993696129371567,0.00018196386164660893,0.04740113178243177,1.8906733722672516e-9,4.92640546327314e-9,0.020622283297149133,0.0035948988040159216,0.0000018462311254353569,0.011706017236494951
South America,2022,2.965434791295832e-7,0.00008740312674181236,0.03192227102299885,8.825159023167478e-10,2.0070839868497693e-9,0.012648660857107644,0.0011477279240303738,0.0000012183764386430506,0.003962534680549436
North America,2022,0.000001456125791726296,0.00031745507692377303,0.05163243261493802,3.085685550770268e-9,5.101117493867303e-9,0.022813715908920108,0.0027146091395028006,0.000007852688236055264,0.0156392152729144
Oceania,2022,0.0000016855236100657896,0.00016539780868930382,0.04966198223881983,2.4873006636510027e-9,4.4705152645270685e-9,0.018956478492633266,0.0030445285908695854,0.0000018798486970568447,0.010843248066052455
Asia,2023,0.000002106091461802445,0.00034301295977370844,0.047630838777132006,2.0749499082429786e-9,5.994267869786332e-9,0.025629622782834035,0.0038083969756826106,0.000007539119241044344,0.017326613323481708
Europe,2023,0.0000010571024107266838,0.00025249039078637035,0.04472894872530692,2.3171636675148524e-9,4.118403756415845e-9,0.019766422259497138,0.0021858178578521895,0.00000607911858165859,0.012074875096832973
Africa,2023,0.0000019738983823845234,0.00018124089868259036,0.0473559849790465,1.8984553526219386e-9,4.896738216568875e-9,0.020538898914245218,0.003564225508191388,0.0000018551379115024771,0.011641082960948276
South America,2023,3.402047659364073e-7,0.00008816201805499965,0.032380331996332105,9.145347520297171e-10,2.073535846210614e-9,0.012804379749944328,0.0012092300464090111,0.0000011743927095361914,0.004111428395303625
North America,2023,0.0000016252162585592188,0.0003168968018736722,0.052483825398006605,3.0757750277890292e-9,5.3232759748324014e-9,0.023323407140041514,0.0029668623507947463,0.000007538875925983891,0.016012851492485134
Oceania,2023,0.0000017548941662107464,0.00016796430606960352,0.05024730101474988,2.519318225354133e-9,4.5817337891833335e-9,0.01924706728565029,0.003145223564586457,0.0000018568148287627129,0.011111400278007283
