country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
AE,2019,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AE,2020,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AE,2021,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AE,2022,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AE,2023,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AE,2024,3.80729e-7,0.000325129,0.114833,1.36934e-9,7.56418e-9,0.423456,0.00922548,1.35033e-9,0.049511
AF,2019,5.95378e-7,0.0011967,0.268591,0.0000109801,0.00000563798,0.577036,0.00657363,0.00002179,0.0741385
AF,2020,6.10502e-7,0.00117491,0.264816,0.0000094819,0.00000487544,0.566947,0.00652282,0.0000201895,0.0732318
AF,2021,6.38881e-7,0.00117814,0.265281,0.00000927027,0.00000476789,0.565334,0.00651751,0.0000201517,0.0732056
AF,2022,6.79677e-7,0.00116898,0.261698,0.00000946568,0.0000048663,0.55513,0.00647107,0.0000205249,0.0721495
AF,2023,7.32065e-7,0.00116295,0.262061,0.00000943316,0.00000485005,0.554116,0.00652502,0.0000199673,0.072567
AF,2024,7.29623e-7,0.00121029,0.272176,0.00000997071,0.00000512576,0.578829,0.00670393,0.0000207769,0.0754509
AG,2019,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AG,2020,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AG,2021,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AG,2022,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AG,2023,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AG,2024,3.83762e-7,0.00571574,0.433057,5.54739e-9,2.75767e-8,0.917264,0.0067488,0.000246532,0.0429296
AL,2019,2.40523e-7,0.000243087,0.062862,0.00000465479,0.00000237462,0.107115,0.00308755,0.00000711103,0.0229872
AL,2020,2.53328e-7,0.000233985,0.0601122,0.00000495746,0.0000025278,0.0998907,0.00298947,0.00000740313,0.0217647
AL,2021,2.56457e-7,0.000237709,0.0611061,0.00000480612,0.00000245111,0.102672,0.00304011,0.00000726511,0.0222526
AL,2022,2.76979e-7,0.000246085,0.0632262,0.00000489447,0.00000249643,0.106934,0.0030022,0.00000737795,0.0218946
AL,2023,2.92756e-7,0.000229748,0.0598023,0.00000487552,0.00000248601,0.0971134,0.00293688,0.00000721445,0.0209335
AL,2024,2.40527e-7,0.000222713,0.0593335,0.00000450351,0.00000229665,0.0959186,0.0028505,0.00000679322,0.0206011
AM,2019,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
AM,2020,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
AM,2021,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
AM,2022,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
AM,2023,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
AM,2024,2.52094e-7,0.000156357,0.0623341,8.11404e-10,4.99603e-9,0.17524,0.00793872,1.41269e-9,0.0568314
