subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-AB,2019-01,1.01804e-7,0.000193853,0.00625891,4.98817e-10,1.44422e-9,0.00745764,0.000304654,0.00000668229,0.00684373
CA-BC,2019-01,7.50159e-8,0.0000579053,0.026264,4.75577e-10,1.42266e-9,0.0104419,0.000795789,5.94018e-7,0.00222287
CA-MB,2019-01,7.6417e-8,0.0000454376,0.0284051,5.12468e-10,1.43068e-9,0.0107274,0.000842222,3.33126e-8,0.00183418
CA-NB,2019-01,7.85177e-8,0.000103475,0.00945712,4.88229e-10,1.00931e-9,0.00567355,0.000309069,0.00000327693,0.00382903
CA-NL,2019-01,6.27692e-8,0.0000527548,0.0261301,3.61163e-10,1.39274e-9,0.0105204,0.000810339,3.702e-7,0.00194569
CA-NS,2019-01,1.16933e-7,0.000176439,0.010324,6.87814e-10,1.48997e-9,0.0078959,0.000373694,0.00000589179,0.00642349
CA-NT,2019-01,7.19806e-8,0.000148353,0.0113171,2.83027e-10,1.38323e-9,0.00839156,0.000461122,0.00000465777,0.00510946
CA-NU,2019-01,6.16718e-8,0.000206429,0.00105356,7.45201e-11,1.33622e-9,0.00704943,0.000243261,0.00000727214,0.00688669
CA-ON,2019-01,1.2126e-7,0.0000365099,0.0148432,7.78502e-10,8.25198e-10,0.00472622,0.000384137,6.51181e-7,0.00193194
CA-PE,2019-01,6.69979e-7,0.0000545696,0.0739905,6.48757e-9,2.96458e-9,0.0123492,0.0010241,8.04185e-8,0.00751896
CA-QC,2019-01,9.19387e-8,0.0000463795,0.0294851,6.67793e-10,1.47058e-9,0.0107539,0.000844341,6.61728e-8,0.00200572
CA-SK,2019-01,8.26649e-8,0.000175623,0.00773218,3.42312e-10,1.40141e-9,0.00780905,0.0003644,0.00000587593,0.00608527
CA-YT,2019-01,6.07981e-8,0.0000744339,0.0224481,3.02336e-10,1.38006e-9,0.0100252,0.000729688,0.00000134497,0.00262619
US-AK,2019-01,3.13942e-8,0.0000222695,0.00791583,2.23243e-10,4.53421e-10,0.00309801,0.000228006,3.84496e-7,0.000904271
US-AL,2019-01,3.05589e-8,0.0000602312,0.00282441,5.60188e-11,5.00949e-10,0.00291154,0.000153998,0.00000196644,0.00204726
US-AR,2019-01,2.90903e-8,0.0000547805,0.00214715,4.63974e-11,4.40599e-10,0.00250537,0.000130236,0.00000181047,0.00186463
US-AZ,2019-01,1.77488e-7,0.0000169777,0.00397024,1.41175e-10,4.37787e-10,0.00184266,0.000322056,1.9238e-7,0.00104961
US-CA,2019-01,5.47046e-7,0.0001214,0.0123553,5.68118e-10,1.7448e-9,0.00763485,0.00100301,0.00000313099,0.00556884
US-CO,2019-01,1.95648e-7,0.00002084,0.0154633,1.26709e-9,7.53872e-10,0.0031936,0.000324444,2.26446e-7,0.00194694
US-CT,2019-01,2.40811e-8,0.0000379468,0.000839423,2.77364e-11,2.83841e-10,0.0015113,0.0000767946,0.00000128668,0.00130219
US-DC,2019-01,3.75877e-7,0.000740505,0.00580307,3.45449e-10,5.0352e-9,0.0259957,0.00111283,0.0000257896,0.0251163
US-DE,2019-01,7.65092e-8,0.0000487289,0.00119918,6.20566e-11,4.15734e-10,0.00196374,0.000153529,0.00000159638,0.00179932
US-FL,2019-01,8.63427e-8,0.0000569205,0.00124521,5.61401e-11,4.78743e-10,0.00227726,0.000176052,0.00000186938,0.0020839
US-GA,2019-01,9.72857e-8,0.0000989748,0.00284429,8.71894e-11,8.03048e-10,0.00418227,0.000261036,0.00000327556,0.00348517
US-HI,2019-01,1.56953e-7,0.000085447,0.00628017,4.66881e-10,8.62555e-10,0.00404515,0.000307688,0.00000270987,0.00343792
US-IA,2019-01,2.60099e-7,0.0000285883,0.0288524,2.49967e-9,1.20385e-9,0.00513677,0.000413483,2.77187e-7,0.00314466
US-ID,2019-01,2.3981e-7,0.000102235,0.0253522,1.17472e-9,1.71221e-9,0.00984179,0.000781467,0.00000240455,0.00456005
US-IL,2019-01,5.87764e-8,0.00000951366,0.00630299,5.50535e-10,2.83978e-10,0.00121972,0.0000938429,1.77241e-7,0.000800809
US-IN,2019-01,5.44444e-8,0.0000137428,0.00511369,4.38612e-10,2.75467e-10,0.0012171,0.0000922749,3.45247e-7,0.000855444
US-KS,2019-01,2.47674e-7,0.0000226466,0.0273286,2.395e-9,1.11036e-9,0.0046467,0.000380807,1.17803e-7,0.00285758
US-KY,2019-01,8.44199e-9,0.0000155689,0.00137547,2.23316e-11,1.5514e-10,0.000971361,0.0000578795,4.7164e-7,0.000531824
US-LA,2019-01,2.10682e-8,0.0000677505,0.000785797,2.99706e-11,4.56523e-10,0.00246286,0.0000927093,0.00000236119,0.00226323
US-MA,2019-01,1.83226e-7,0.000104618,0.00395827,1.82289e-10,9.61772e-10,0.00461692,0.000380934,0.0000033423,0.00393428
US-MD,2019-01,6.26544e-8,0.0000299015,0.00388405,1.42256e-10,3.83243e-10,0.00210732,0.000177301,8.20078e-7,0.0011953
US-ME,2019-01,3.27111e-7,0.000545258,0.0287304,1.76305e-9,4.50001e-9,0.0241712,0.00113388,0.0000182477,0.0195308
US-MI,2019-01,5.74044e-8,0.000055535,0.00486134,3.97933e-10,5.26085e-10,0.00261267,0.000133389,0.00000182817,0.00219011
US-MN,2019-01,1.94674e-7,0.0000643467,0.0155941,1.28961e-9,1.01495e-9,0.00461162,0.000352158,0.00000178811,0.00337042
US-MO,2019-01,2.68938e-8,0.0000071947,0.00332278,2.15767e-10,1.71288e-10,0.000912711,0.0000708941,1.34725e-7,0.000429816
US-MS,2019-01,3.5169e-8,0.0000503021,0.000520295,2.83343e-11,3.57111e-10,0.00180999,0.0000905609,0.00000173337,0.00173183
US-MT,2019-01,7.87815e-8,0.0000189239,0.0141385,6.65472e-10,6.6335e-10,0.00414673,0.000331351,6.12108e-8,0.00118403
US-NC,2019-01,2.13119e-7,0.0000603722,0.00599028,1.82312e-10,8.13169e-10,0.00394761,0.000450232,0.00000159159,0.00255781
US-ND,2019-01,1.73926e-7,0.0000170183,0.0210349,1.67016e-9,8.6397e-10,0.00401587,0.000329382,6.30399e-10,0.00202228
US-NE,2019-01,1.12768e-7,0.0000165592,0.0129965,1.05015e-9,5.7276e-10,0.00263637,0.000208865,2.19506e-7,0.00147117
US-NH,2019-01,9.02679e-8,0.00022653,0.0059502,2.92376e-10,1.65084e-9,0.00896715,0.000374155,0.00000776873,0.00773008
US-NJ,2019-01,6.72476e-8,0.0000340328,0.000951937,4.36282e-11,3.10419e-10,0.0014283,0.000128887,0.00000108874,0.00128915
US-NM,2019-01,2.55832e-7,0.0000187604,0.0157206,1.28803e-9,8.15496e-10,0.00322962,0.000403126,6.42664e-8,0.00203673
US-NV,2019-01,4.38121e-7,0.0000293042,0.00766703,2.99726e-10,9.26332e-10,0.00347457,0.000735889,1.29883e-7,0.00216154
US-NY,2019-01,6.18087e-8,0.0000453038,0.00924016,3.57459e-10,6.56091e-10,0.00401592,0.00028101,0.00000115934,0.00181101
US-OH,2019-01,2.07899e-8,0.0000137845,0.00177101,1.46407e-10,1.52622e-10,0.000735584,0.0000431205,4.36465e-7,0.00058957
