subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NL,2019-01,7.993191815324941e-8,0.00010566053807288082,0.03834628118285504,1.8760151102028825e-7,9.87097936758789e-8,0.041866445963678764,0.0012243698221610882,0.0000011498105136747294,0.005502176140814696
CA-PE,2019-01,6.736820845748773e-7,0.0000659860592829722,0.07662660685962604,4.689197623643892e-8,2.39645311842392e-8,0.01911337354104214,0.001113443547487597,2.4864996793976736e-7,0.008286405116097899
CA-NS,2019-01,3.906400345765513e-7,0.0010201672656909577,0.20514412895592807,0.0000029867519681937607,0.0000015534789797259872,0.5077951537899785,0.006976560454604543,0.000018324835797831138,0.06314144697429826
CA-NB,2019-01,3.391845130030579e-7,0.0005866680163120434,0.1266024563208919,0.000001661424978680542,8.659690502081098e-7,0.2854248429635087,0.008638077938661273,0.00001019252578163771,0.07803306656569348
CA-QC,2019-01,9.49759999964514e-8,0.00005574217037620839,0.03164694837629455,3.3803474492680016e-8,1.8692651299072708e-8,0.016301160742588767,0.0009176115351782596,2.0413958117144118e-7,0.0026351027540995964
CA-ON,2019-01,3.370043029790227e-7,0.0001535661720802207,0.051407577501149326,3.309805693395339e-7,1.7535011626639315e-7,0.06290112594596474,0.009079747734168442,0.0000020259933912326215,0.0811745387700097
CA-MB,2019-01,7.792739917010277e-8,0.00005009348947618825,0.02948019398151367,1.6990437151114492e-8,9.995005782697694e-9,0.013486019737381855,0.0008786585159027212,1.0192176158968067e-7,0.002147166344900136
CA-SK,2019-01,3.556351078420705e-7,0.001017078621729442,0.20202758991591116,0.000002978364093535665,0.0000015492104467961166,0.5063619298449946,0.006949482639606666,0.000018275489262400888,0.06265046835593661
CA-AB,2019-01,4.1223957818363367e-7,0.0011507990361669502,0.22722151445806205,0.000003387256448428377,0.0000017616912730517978,0.5744372951527126,0.0077935448249854605,0.000020783701432677398,0.07117253825873306
CA-BC,2019-01,1.0257777009370004e-7,0.0001428673687570677,0.045882033169322586,3.011672514523105e-7,1.5770536120667732e-7,0.06078090480384041,0.0014606871008295105,0.0000018460046831348895,0.007934273494481062
CA-YT,2019-01,1.2325064995088675e-7,0.0002669494978910937,0.06690073808442625,6.816401270784277e-7,3.5550130719558616e-7,0.12408843866843249,0.0022362808580144184,0.00000418184895808404,0.015567672519627712
CA-NT,2019-01,2.8835282609919877e-7,0.000815340137211387,0.16532698830061066,0.000002360837170936113,0.0000012282671540058928,0.4035737157030425,0.005680843817613904,0.000014486389413118659,0.049946341889339475
CA-NU,2019-01,3.995126353790613e-7,0.0012478545642083548,0.24152268592057757,0.0000036858141980402277,0.0000019169774110366167,0.6240818978855079,0.00839326921093347,0.000022618416709644146,0.07689443011861784
CA-NL,2019-02,8.165052502704726e-8,0.00011033761418983145,0.039234932903901704,1.85302695372093e-7,9.770684096198776e-8,0.0442994794548489,0.0012544494119117514,0.0000012211535334822838,0.005805063625695757
CA-PE,2019-02,6.757300774848992e-7,0.00006066786490294404,0.07588038935837958,2.842314442784523e-8,1.4382167042313038e-8,0.016379949092720485,0.0010818145762450692,1.4526605617218847e-7,0.007978838419063041
CA-NS,2019-02,3.945949173860245e-7,0.0010036859200691244,0.20323302335003912,0.000002694101280194927,0.0000014041556197487272,0.5000964443611219,0.00688424883527062,0.000017773120602923174,0.06228757089013995
CA-NB,2019-02,3.495770572869625e-7,0.0005358968708702656,0.11887965242687286,0.0000013816370110111033,7.220882772696891e-7,0.2596993964394404,0.008809501609921873,0.000009112732047961434,0.07967315384271952
CA-QC,2019-02,9.724196910366693e-8,0.0000548972741945023,0.03168870119770948,2.8628214696189577e-8,1.602517034644477e-8,0.015867790224697007,0.0009129680935542613,1.8513395355175515e-7,0.0026051806881486864
CA-ON,2019-02,3.455077399844805e-7,0.0001982057822593949,0.05943232001392603,4.274843284744842e-7,2.2574198983555078e-7,0.08581310990487835,0.008607850748948083,0.0000028152619526446306,0.07662904973491416
CA-MB,2019-02,7.9487397172629e-8,0.00004953847502361137,0.02951232972183938,1.4024697497828331e-8,8.463000919702597e-9,0.013199714314349081,0.0008756075820309138,8.98510297505269e-8,0.0021279523879014794
CA-SK,2019-02,3.540290388218762e-7,0.0010456930976408066,0.206788139385912,0.0000028136166107377284,0.000001466541263747389,0.5217581592651821,0.007136526165008336,0.00001856534168546903,0.06446117657535641
CA-AB,2019-02,3.9868903937790686e-7,0.0011944221905988296,0.23350435274491246,0.0000032314644032427737,0.0000016841556388282008,0.5976667921788905,0.008072478161017771,0.000021322643499167198,0.07379702075185064
CA-BC,2019-02,9.366890778537968e-8,0.00013060596852574932,0.04332106408240617,2.4207885847052044e-7,1.2725988396183353e-7,0.054619347844630024,0.0013833428738574461,0.0000015954117532141125,0.007129013403327449
CA-YT,2019-02,1.2961937407768832e-7,0.0002905312963963567,0.0711749489227592,6.917661780184148e-7,3.6148675321978553e-7,0.13629926211454937,0.00238660122486482,0.000004563597539792865,0.017065705575586874
CA-NT,2019-02,2.915653265705678e-7,0.0008340186949419882,0.16878615525796442,0.0000022188122342679906,0.0000011567686351219286,0.4137064345008354,0.005805486539316483,0.000014640314320844082,0.051177704677126255
CA-NU,2019-02,3.9774905482041587e-7,0.0012463251417769378,0.2416223950850661,0.0000033777964272211712,0.0000017604074007561434,0.6242331285444234,0.008394909735349716,0.0000222893388563327,0.07691450850661627
CA-NL,2019-03,7.546486683815105e-8,0.0000892842300714654,0.035456793599470585,1.2112133279658113e-7,6.434051265354997e-8,0.033533208731429794,0.001121802779441434,8.290991252596891e-7,0.004480708596477268
CA-PE,2019-03,6.769858464335655e-7,0.00006279098871939761,0.07616286885208762,3.306785564930046e-8,1.6820446953213726e-8,0.017427433158685512,0.001097101507880985,1.8292147521100282e-7,0.008102383129767712
CA-NS,2019-03,3.9999307324587704e-7,0.0010038993173021953,0.20361556915276507,0.0000025869628605461723,0.0000013496151094268328,0.4997623719040037,0.006881696002924218,0.000017739803439079194,0.06226999387499291
CA-NB,2019-03,3.441086505099527e-7,0.0005175558360341552,0.11495082507957163,0.0000012773656418525738,6.685515190310982e-7,0.25002914118005964,0.009087534992498517,0.000008757931322135028,0.08223531347859649
CA-QC,2019-03,1.021385227927339e-7,0.00005632061337068948,0.032278793681243034,3.123214476278861e-8,1.738434121311692e-8,0.016570559875851047,0.0009228832893475867,2.0996540002373305e-7,0.0027325115003581954
CA-ON,2019-03,3.897054900729796e-7,0.00019835706042193584,0.05958398094502082,4.053990036315273e-7,2.1448515368189835e-7,0.08499629348121353,0.008624064425200462,0.0000027746541755711803,0.07635914262495938
CA-MB,2019-03,8.03335758687144e-8,0.00004876254213725845,0.029453706847464633,1.1364102372443718e-8,7.079800284582357e-9,0.012797428371662077,0.0008709481415781493,7.504281665282633e-8,0.002088323534789876
CA-SK,2019-03,3.6928665800589407e-7,0.0010603908475153424,0.21018609663766488,0.000002740608663176844,0.0000014298366775038654,0.528769254993439,0.0072260262510307205,0.000018797044990537696,0.06539651530182192
CA-AB,2019-03,4.029195915035981e-7,0.0011870071308504656,0.23249846122701098,0.0000030821152318403524,0.000001607877527871914,0.5933354558209675,0.008022359949654669,0.000021139984321379937,0.0732864715555449
CA-BC,2019-03,1.2001041087912004e-7,0.00020713177392553785,0.057320362558266336,4.387594985927796e-7,2.2989671184926368e-7,0.09359343635358937,0.0018646887757985744,0.0000030072742740748735,0.011949767731111593
CA-YT,2019-03,1.5362534712991578e-7,0.00037737951680423434,0.0866160136254721,8.984749818432561e-7,4.6958654880655116e-7,0.18049068194301268,0.0029306956792820985,0.000006161857708976062,0.022473825107857528
