continent,period,Bioenergy,Hydro,Solar,Wind
Africa,2019-01,0.0194,0.924,0.0309,0.0258
Africa,2019-02,0.0194,0.9258,0.0303,0.0246
Africa,2019-03,0.0193,0.9243,0.0308,0.0255
Africa,2019-04,0.0194,0.9246,0.0304,0.0256
Africa,2019-05,0.0192,0.9238,0.0302,0.0269
Africa,2019-06,0.0193,0.9237,0.0301,0.027
Africa,2019-07,0.0191,0.9209,0.03,0.03
Africa,2019-08,0.0194,0.9255,0.0297,0.0254
Africa,2019-09,0.0193,0.9239,0.0304,0.0263
Africa,2019-10,0.0192,0.9229,0.0309,0.027
Africa,2019-11,0.0192,0.9226,0.0309,0.0272
Africa,2019-12,0.0193,0.9238,0.0307,0.0262
Africa,2020-01,0.0194,0.9264,0.0324,0.0219
Africa,2020-02,0.0194,0.9276,0.0314,0.0216
Africa,2020-03,0.0194,0.9263,0.0328,0.0215
Africa,2020-04,0.0192,0.9261,0.0325,0.0222
Africa,2020-05,0.0192,0.9257,0.033,0.0222
Africa,2020-06,0.0192,0.9247,0.0323,0.0238
Africa,2020-07,0.0191,0.923,0.0318,0.0261
Africa,2020-08,0.0191,0.9228,0.0326,0.0255
Africa,2020-09,0.0192,0.9233,0.0329,0.0246
Africa,2020-10,0.0192,0.9235,0.0334,0.0239
Africa,2020-11,0.0193,0.9251,0.0333,0.0223
Africa,2020-12,0.0193,0.9242,0.0333,0.0232
Africa,2021-01,0.0193,0.9236,0.0331,0.0241
Africa,2021-02,0.0193,0.9251,0.0331,0.0225
Africa,2021-03,0.0192,0.9211,0.0341,0.0256
Africa,2021-04,0.0192,0.9237,0.0336,0.0235
Africa,2021-05,0.0192,0.9212,0.0335,0.0261
Africa,2021-06,0.0192,0.9206,0.0328,0.0274
Africa,2021-07,0.0192,0.9199,0.0329,0.028
Africa,2021-08,0.0192,0.9201,0.0338,0.0269
Africa,2021-09,0.0191,0.9191,0.034,0.0277
Africa,2021-10,0.0192,0.9186,0.0342,0.028
Africa,2021-11,0.0193,0.9222,0.0346,0.0238
Africa,2021-12,0.0193,0.9225,0.0339,0.0242
Africa,2022-01,0.0195,0.9219,0.0345,0.0241
Africa,2022-02,0.0195,0.9241,0.0332,0.0232
Africa,2022-03,0.0193,0.9196,0.0342,0.0269
Africa,2022-04,0.0193,0.9183,0.035,0.0275
Africa,2022-05,0.0192,0.9197,0.0352,0.026
Africa,2022-06,0.0192,0.9178,0.0339,0.029
Africa,2022-07,0.0191,0.9159,0.0347,0.0302
Africa,2022-08,0.0191,0.9152,0.0356,0.0301
Africa,2022-09,0.0192,0.9171,0.0358,0.0279
Africa,2022-10,0.0191,0.9177,0.0356,0.0275
Africa,2022-11,0.0193,0.9182,0.0365,0.026
Africa,2022-12,0.0193,0.9178,0.0372,0.0257
Africa,2023-01,0.0192,0.9155,0.0386,0.0266
Africa,2023-02,0.0192,0.9175,0.0372,0.0261
Africa,2023-03,0.0191,0.9154,0.0388,0.0267
Africa,2023-04,0.0192,0.9164,0.0379,0.0266
Africa,2023-05,0.0191,0.9166,0.0374,0.0269
Africa,2023-06,0.019,0.9143,0.0366,0.0301
Africa,2023-07,0.0191,0.9119,0.037,0.0321
Africa,2023-08,0.019,0.9096,0.0387,0.0327
Africa,2023-09,0.0192,0.9108,0.0395,0.0305
Africa,2023-10,0.0191,0.9102,0.0406,0.0301
Africa,2023-11,0.0191,0.9127,0.0405,0.0277
Africa,2023-12,0.0191,0.9133,0.0401,0.0274
Africa,2024-01,0.0192,0.9121,0.0412,0.0275
Africa,2024-02,0.0192,0.9105,0.0414,0.029
Africa,2024-03,0.0191,0.9115,0.0408,0.0285
Africa,2024-04,0.0192,0.9116,0.039,0.0303
Africa,2024-05,0.0191,0.9108,0.039,0.0311
Africa,2024-06,0.0191,0.9108,0.0375,0.0326
Africa,2024-07,0.019,0.9105,0.0387,0.0317
Africa,2024-08,0.019,0.9082,0.0397,0.033
Africa,2024-09,0.019,0.9085,0.0405,0.0319
Africa,2024-10,0.0191,0.9052,0.0426,0.0331
Africa,2024-11,0.0191,0.909,0.0429,0.029
Africa,2024-12,0.0191,0.9088,0.0437,0.0284
Africa,2025-01,0.0192,0.9066,0.0438,0.0304
Africa,2025-02,0.0192,0.9104,0.0403,0.0302
Africa,2025-03,0.0192,0.9107,0.0413,0.0289
Africa,2025-04,0.0191,0.9097,0.0406,0.0306
Africa,2025-05,0.019,0.907,0.0422,0.0318
Africa,2025-06,0.019,0.9052,0.0406,0.0352
Africa,2025-07,0.019,0.9051,0.0402,0.0358
Africa,2025-08,0.019,0.9036,0.0413,0.0361
Africa,2025-09,0.019,0.9046,0.0413,0.0351
Africa,2025-10,0.0189,0.9027,0.0443,0.0341
Africa,2025-11,0.0191,0.9093,0.0427,0.0289
Africa,2025-12,0.0189,0.9063,0.0451,0.0297
Africa,2026-01,0.019,0.9033,0.0463,0.0315
Africa,2026-02,0.0191,0.9098,0.0418,0.0294
Africa,2026-03,0.019,0.9088,0.0411,0.0311
Africa,2026-04,0.0189,0.9085,0.0411,0.0314
Africa,2026-05,0.0189,0.9085,0.0411,0.0314
Africa,2026-06,0.0189,0.9085,0.0411,0.0314
Africa,2026-07,0.0189,0.9085,0.0411,0.0314
Africa,2026-08,0.0189,0.9085,0.0411,0.0314
Asia,2019-01,0.1123,0.6221,0.1175,0.1481
Asia,2019-02,0.1031,0.6347,0.1188,0.1434
Asia,2019-03,0.0933,0.6147,0.1384,0.1536
Asia,2019-04,0.0852,0.6246,0.141,0.1492
Asia,2019-05,0.0754,0.6387,0.1368,0.1491
Asia,2019-06,0.0754,0.6721,0.1288,0.1237
Asia,2019-07,0.0734,0.7006,0.1185,0.1076
Asia,2019-08,0.075,0.697,0.1227,0.1053
Asia,2019-09,0.0769,0.6931,0.1278,0.1022
Asia,2019-10,0.0792,0.6743,0.1266,0.1199
Asia,2019-11,0.0897,0.6296,0.1265,0.1541
Asia,2019-12,0.1043,0.5986,0.1265,0.1707
Asia,2020-01,0.11,0.5975,0.1412,0.1513
Asia,2020-02,0.1075,0.5991,0.1446,0.1489
Asia,2020-03,0.0931,0.5731,0.1539,0.18
Asia,2020-04,0.0915,0.5837,0.1654,0.1594
Asia,2020-05,0.0856,0.5946,0.1548,0.1651
Asia,2020-06,0.0765,0.6576,0.1349,0.131
Asia,2020-07,0.074,0.695,0.1251,0.1059
Asia,2020-08,0.0767,0.6781,0.1338,0.1114
Asia,2020-09,0.0749,0.6938,0.1309,0.1004
Asia,2020-10,0.0741,0.6686,0.1274,0.1299
Asia,2020-11,0.0949,0.6117,0.1316,0.1619
Asia,2020-12,0.1089,0.5771,0.1329,0.1811
Asia,2021-01,0.108,0.5308,0.1507,0.2105
