continent,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
Africa,2019-01,0.0067,0.095,0.4592,0.2948,0.0041,0.1207,0.0014,0.0099,0.0082
Africa,2019-02,0.0068,0.0908,0.4597,0.2982,0.0038,0.1219,0.0012,0.0098,0.0079
Africa,2019-03,0.0067,0.0946,0.4597,0.2963,0.0041,0.1191,0.0014,0.0099,0.0082
Africa,2019-04,0.0068,0.0954,0.4591,0.2966,0.004,0.1188,0.0013,0.0097,0.0082
Africa,2019-05,0.0067,0.0986,0.4596,0.2947,0.0034,0.1175,0.0014,0.0096,0.0086
Africa,2019-06,0.0067,0.0968,0.4604,0.2939,0.0039,0.119,0.0013,0.0096,0.0086
Africa,2019-07,0.0066,0.0978,0.4594,0.2918,0.0039,0.1201,0.0014,0.0095,0.0095
Africa,2019-08,0.0067,0.0969,0.4569,0.2945,0.004,0.1221,0.0014,0.0095,0.0081
Africa,2019-09,0.0067,0.0949,0.4635,0.2933,0.0033,0.119,0.0014,0.0097,0.0084
Africa,2019-10,0.0067,0.0975,0.4599,0.2956,0.0023,0.118,0.0015,0.0099,0.0087
Africa,2019-11,0.0067,0.0952,0.46,0.2968,0.0023,0.1187,0.0015,0.01,0.0088
Africa,2019-12,0.0068,0.0932,0.4615,0.2971,0.0023,0.1193,0.0015,0.0099,0.0084
Africa,2020-01,0.0071,0.0992,0.4332,0.312,0.0038,0.1248,0.0016,0.0109,0.0074
Africa,2020-02,0.0072,0.0971,0.4329,0.3142,0.0041,0.1252,0.0015,0.0107,0.0073
Africa,2020-03,0.0072,0.0987,0.4302,0.3142,0.0038,0.126,0.0015,0.0111,0.0073
Africa,2020-04,0.0072,0.0912,0.4344,0.3184,0.0025,0.126,0.0014,0.0112,0.0076
Africa,2020-05,0.0071,0.0988,0.4337,0.3144,0.0024,0.1235,0.0013,0.0112,0.0075
Africa,2020-06,0.0071,0.1021,0.4335,0.312,0.0023,0.1226,0.0014,0.0109,0.008
