continent,year,Bioenergy,Hydro,Solar,Wind
Africa,2019,0.0193,0.9238,0.0304,0.0265
Africa,2020,0.0193,0.9249,0.0326,0.0232
Africa,2021,0.0192,0.9215,0.0336,0.0257
Africa,2022,0.0193,0.9186,0.0351,0.027
Africa,2023,0.0191,0.9137,0.0386,0.0286
Africa,2024,0.0191,0.9098,0.0406,0.0305
Africa,2025,0.019,0.9067,0.042,0.0322
Africa,2026,0.019,0.9081,0.0419,0.0311
Asia,2019,0.0857,0.6529,0.1275,0.1339
Asia,2020,0.0874,0.6325,0.1388,0.1413
Asia,2021,0.0905,0.5789,0.1546,0.176
Asia,2022,0.0899,0.5472,0.1748,0.1881
Asia,2023,0.0898,0.4992,0.2044,0.2067
Asia,2024,0.0827,0.4762,0.2361,0.2051
Asia,2025,0.0745,0.4368,0.2786,0.2101
Asia,2026,0.0704,0.3907,0.3203,0.2185
Europe,2019,0.0784,0.5718,0.0853,0.2645
Europe,2020,0.0753,0.552,0.0942,0.2786
Europe,2021,0.0806,0.5416,0.1053,0.2725
Europe,2022,0.0782,0.4926,0.131,0.2982
Europe,2023,0.0659,0.4809,0.147,0.3062
Europe,2024,0.0636,0.474,0.1675,0.2948
Europe,2025,0.0645,0.4391,0.2042,0.2921
Europe,2026,0.0591,0.4404,0.2361,0.2644
North America,2019,0.0898,0.5536,0.0985,0.2581
North America,2020,0.0831,0.5282,0.1125,0.2762
North America,2021,0.0806,0.4951,0.1316,0.2926
North America,2022,0.0732,0.4732,0.1466,0.307
North America,2023,0.0713,0.453,0.1708,0.3048
North America,2024,0.0677,0.4249,0.1986,0.3088
North America,2025,0.0636,0.4057,0.2313,0.2994
North America,2026,0.0553,0.3886,0.2563,0.2997
Oceania,2019,0.0178,0.5837,0.1981,0.2003
Oceania,2020,0.0159,0.5429,0.225,0.2162
Oceania,2021,0.0144,0.5047,0.2526,0.2284
Oceania,2022,0.0128,0.4811,0.2711,0.235
Oceania,2023,0.0125,0.4437,0.3091,0.2347
Oceania,2024,0.0133,0.4072,0.3363,0.2432
Oceania,2025,0.0113,0.3746,0.3494,0.2647
Oceania,2026,0.0129,0.3958,0.3176,0.2737
South America,2019,0.0391,0.9055,0.0105,0.0449
South America,2020,0.042,0.8941,0.0145,0.0494
South America,2021,0.0413,0.8746,0.021,0.063
South America,2022,0.0373,0.8653,0.0307,0.0667
South America,2023,0.0379,0.8435,0.0443,0.0742
South America,2024,0.038,0.8199,0.0599,0.0822
South America,2025,0.036,0.8026,0.073,0.0884
South America,2026,0.0284,0.8193,0.0819,0.0703
