continent,year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
Africa,2019,0.0062,0.0956,0.4602,0.2954,0.0035,0.1196,0.0014,0.0097,0.0085
Africa,2020,0.0065,0.0988,0.4351,0.3126,0.0032,0.1235,0.0014,0.011,0.0079
Africa,2021,0.0065,0.0982,0.4355,0.311,0.0033,0.1241,0.0014,0.0114,0.0087
Africa,2022,0.0065,0.096,0.4316,0.3114,0.0029,0.129,0.0015,0.0119,0.0092
Africa,2023,0.0065,0.0924,0.4362,0.311,0.0025,0.1268,0.0017,0.0131,0.0097
Africa,2024,0.0065,0.0937,0.4367,0.3096,0.0024,0.1254,0.0016,0.0138,0.0104
Africa,2025,0.0065,0.0911,0.437,0.3102,0.0028,0.1254,0.0017,0.0144,0.011
Africa,2026,0.0066,0.0873,0.4366,0.3133,0.0043,0.1257,0.0019,0.0145,0.0098
Asia,2019,0.012,0.3543,0.3592,0.0916,0.0238,0.1155,0.0068,0.0179,0.0188
Asia,2020,0.0128,0.3517,0.3561,0.093,0.024,0.1144,0.0068,0.0204,0.0208
Asia,2021,0.0139,0.3584,0.3458,0.0887,0.0252,0.1108,0.0066,0.0237,0.027
Asia,2022,0.0146,0.3566,0.3392,0.089,0.0255,0.1094,0.0065,0.0285,0.0306
Asia,2023,0.015,0.3627,0.3318,0.0835,0.0263,0.1056,0.0064,0.0342,0.0346
Asia,2024,0.015,0.3579,0.3246,0.0866,0.0265,0.1029,0.0062,0.0429,0.0373
Asia,2025,0.0149,0.3486,0.3173,0.0873,0.0271,0.101,0.0061,0.0557,0.042
Asia,2026,0.0149,0.3464,0.3215,0.0777,0.0257,0.1016,0.0061,0.0614,0.0447
Europe,2019,0.0251,0.1794,0.261,0.1832,0.2009,0.0199,0.0184,0.0273,0.0847
Europe,2020,0.0267,0.1648,0.2468,0.1955,0.195,0.0199,0.0194,0.0333,0.0987
Europe,2021,0.0276,0.17,0.2516,0.1853,0.1975,0.0201,0.0188,0.036,0.0932
Europe,2022,0.0278,0.1673,0.2552,0.1749,0.1823,0.0207,0.0194,0.0465,0.1059
Europe,2023,0.0257,0.15,0.2404,0.1876,0.1804,0.0196,0.0196,0.0573,0.1195
Europe,2024,0.0262,0.1402,0.2303,0.1953,0.1781,0.0201,0.0193,0.069,0.1215
Europe,2025,0.0265,0.1376,0.2363,0.1802,0.1772,0.0192,0.0192,0.0838,0.1199
Europe,2026,0.0274,0.1345,0.2336,0.1886,0.1684,0.0197,0.0186,0.0806,0.1287
North America,2019,0.0213,0.1786,0.3269,0.1315,0.1421,0.1079,0.0068,0.0234,0.0613
North America,2020,0.0211,0.1489,0.3384,0.1343,0.1415,0.1101,0.0069,0.0286,0.0702
North America,2021,0.0208,0.1652,0.3256,0.1277,0.1367,0.1079,0.0068,0.034,0.0755
North America,2022,0.0198,0.151,0.3384,0.1279,0.1324,0.1012,0.0067,0.0396,0.0829
North America,2023,0.0194,0.1269,0.3677,0.1231,0.138,0.0888,0.0069,0.0464,0.0828
North America,2024,0.019,0.1188,0.3723,0.1191,0.1356,0.0865,0.0065,0.0556,0.0865
North America,2025,0.0186,0.1288,0.3552,0.1186,0.1328,0.0844,0.0064,0.0676,0.0876
North America,2026,0.0187,0.1116,0.3288,0.1371,0.1329,0.0873,0.0065,0.0734,0.1038
Oceania,2019,0.0047,0.4123,0.0952,0.1555,0,0.2054,0.0207,0.0528,0.0534
Oceania,2020,0.0045,0.3993,0.0874,0.1549,0,0.2069,0.0209,0.0642,0.0617
Oceania,2021,0.0045,0.3865,0.0728,0.158,0,0.2068,0.0208,0.0791,0.0715
Oceania,2022,0.0043,0.3584,0.0786,0.1627,0,0.2039,0.0209,0.0917,0.0795
Oceania,2023,0.0045,0.3504,0.0676,0.1592,0,0.203,0.0203,0.1109,0.0842
Oceania,2024,0.0048,0.3491,0.0711,0.1457,0,0.1994,0.0225,0.1204,0.087
Oceania,2025,0.0043,0.332,0.0644,0.1435,0,0.1971,0.0235,0.1338,0.1014
Oceania,2026,0.0048,0.327,0.055,0.1449,0,0.1993,0.0246,0.144,0.1003
South America,2019,0.0265,0.0222,0.1941,0.6123,0.0105,0.0969,0.0001,0.0071,0.0304
South America,2020,0.0285,0.0212,0.1917,0.6066,0.0105,0.0981,0.0001,0.0098,0.0335
South America,2021,0.0275,0.0218,0.2023,0.5813,0.0106,0.1006,0.0001,0.014,0.0419
South America,2022,0.0262,0.0137,0.1813,0.6064,0.0093,0.0946,0.0002,0.0215,0.0467
South America,2023,0.0269,0.0129,0.1751,0.5985,0.0098,0.0925,0.0002,0.0315,0.0527
South America,2024,0.0269,0.0134,0.1766,0.5808,0.0107,0.0907,0.0001,0.0425,0.0583
South America,2025,0.0257,0.0124,0.1751,0.5727,0.0108,0.0888,0.0001,0.0514,0.063
South America,2026,0.0205,0.0118,0.1757,0.5885,0.0077,0.0898,0,0.0562,0.0498
