country,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
AE,2019-01,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-02,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-03,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-04,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-05,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-06,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-07,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-08,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-09,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-10,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-11,0,0,0.9736,0,0,0,0,0.0264,0
AE,2019-12,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-01,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-02,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-03,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-04,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-05,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-06,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-07,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-08,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-09,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-10,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-11,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020-12,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-01,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-02,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-03,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-04,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-05,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-06,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-07,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021-08,0,0,0.9736,0,0,0,0,0.0264,0
