country,year,Bioenergy,Hydro,Solar,Wind
AE,2019,0,0,1,0
AE,2020,0,0,1,0
AE,2021,0,0,1,0
AE,2022,0,0,1,0
AE,2023,0,0,1,0
AE,2024,0,0,1,0
AE,2025,0,0,1,0
AE,2026,0,0,1,0
AF,2019,0.0318,0.7969,0.0873,0.084
AF,2020,0.0345,0.7797,0.0959,0.0899
AF,2021,0.0379,0.7456,0.1057,0.1109
AF,2022,0.04,0.7206,0.1198,0.1196
AF,2023,0.0409,0.6887,0.1388,0.1315
AF,2024,0.0385,0.6674,0.1617,0.1324
AF,2025,0.0354,0.6322,0.1933,0.139
AF,2026,0.0335,0.5932,0.2264,0.147
AG,2019,0,0,1,0
AG,2020,0,0,1,0
AG,2021,0,0,1,0
AG,2022,0,0,1,0
AG,2023,0,0,1,0
AG,2024,0,0,1,0
AG,2025,0,0,1,0
AG,2026,0,0,1,0
AM,2019,0,0.997,0.003,0
AM,2020,0,0.9699,0.0301,0
AM,2021,0,0.9406,0.0594,0
AM,2022,0.0004,0.8716,0.1266,0.0015
AM,2023,0.0005,0.7636,0.2339,0.0019
AM,2024,0.0008,0.751,0.2455,0.0027
AM,2025,0.0003,0.7783,0.2203,0.0011
AM,2026,0,0.6783,0.3217,0
AO,2019,0.0044,0.9939,0.0018,0
AO,2020,0.0044,0.9939,0.0018,0
AO,2021,0.0044,0.9939,0.0018,0
AO,2022,0.0044,0.9939,0.0018,0
AO,2023,0.0044,0.9939,0.0018,0
AO,2024,0.0044,0.9939,0.0018,0
AO,2025,0.0044,0.9939,0.0018,0
AO,2026,0.0044,0.9939,0.0018,0
AR,2019,0.0148,0.8514,0.0188,0.1151
AR,2020,0.0182,0.7272,0.0319,0.2227
AR,2021,0.0268,0.6087,0.0529,0.3116
AR,2022,0.0269,0.6386,0.0599,0.2746
AR,2023,0.0219,0.6849,0.0563,0.2369
AR,2024,0.024,0.6222,0.0715,0.2823
AR,2025,0.029,0.5583,0.0913,0.3214
AR,2026,0.027,0.5541,0.1054,0.3135
AS,2019,NaN,NaN,NaN,NaN
AS,2020,NaN,NaN,NaN,NaN
AS,2021,NaN,NaN,NaN,NaN
AS,2022,NaN,NaN,NaN,NaN
AS,2023,NaN,NaN,NaN,NaN
AS,2024,NaN,NaN,NaN,NaN
AS,2025,NaN,NaN,NaN,NaN
AS,2026,NaN,NaN,NaN,NaN
AT,2019,0.043,0.7687,0.0309,0.1574
AT,2020,0.0345,0.7845,0.0362,0.1449
AT,2021,0.0331,0.765,0.0507,0.1513
AT,2022,0.0538,0.7152,0.072,0.159
AT,2023,0.027,0.7236,0.0929,0.1566
AT,2024,0.0307,0.7002,0.1179,0.1511
AT,2025,0.0355,0.6382,0.168,0.1583
AT,2026,0.0332,0.5856,0.2316,0.1496
AU,2019,0.0073,0.2697,0.3487,0.3742
AU,2020,0.0048,0.2428,0.3763,0.3762
AU,2021,0.0039,0.2236,0.3996,0.3729
AU,2022,0.003,0.2076,0.4222,0.3672
AU,2023,0.0037,0.1727,0.4738,0.3497
AU,2024,0.0049,0.1462,0.5046,0.3443
AU,2025,0.0048,0.1232,0.5053,0.3667
AU,2026,0.0067,0.1467,0.4595,0.3871
AW,2019,0,0,0.1765,0.8235
AW,2020,0,0,0.1765,0.8235
AW,2021,0,0,0.1765,0.8235
AW,2022,0,0,0.1765,0.8235
AW,2023,0,0,0.1765,0.8235
AW,2024,0,0,0.1765,0.8235
AW,2025,0,0,0.1765,0.8235
AW,2026,0,0,0.1765,0.8235
AZ,2019,0,0.9798,0.0202,0
AZ,2020,0,0.9574,0.0426,0
AZ,2021,0,0.9672,0.0328,0
AZ,2022,0,0.9654,0.0346,0
AZ,2023,0.001,0.9579,0.0382,0.0029
AZ,2024,0,0.9254,0.0746,0
AZ,2025,0,0.9662,0.0338,0
AZ,2026,0,0.6572,0.068,0.2748
BA,2019,0,0.9714,0,0.0286
BA,2020,0,0.9647,0,0.0353
BA,2021,0,0.9459,0.0041,0.05
BA,2022,0,0.9133,0.0196,0.0671
BA,2023,0,0.9408,0.0304,0.0288
BA,2024,0,0.8932,0.0689,0.0379
BA,2025,0,0.8515,0.1115,0.037
BA,2026,0,0.8704,0.1073,0.0223
BB,2019,0,0,1,0
BB,2020,0,0,1,0
BB,2021,0,0,1,0
BB,2022,0,0,1,0
BB,2023,0,0,1,0
BB,2024,0,0,1,0
BB,2025,0,0,1,0
BB,2026,0,0,1,0
BD,2019,0.0438,0.7413,0.0981,0.1169
BD,2020,0.0467,0.7066,0.1247,0.122
BD,2021,0.0505,0.6017,0.1994,0.1484
BD,2022,0.0506,0.5489,0.2478,0.1526
BD,2023,0.0483,0.4588,0.3358,0.1571
BD,2024,0.0443,0.4346,0.3519,0.1691
BD,2025,0.0442,0.3779,0.3994,0.1785
BD,2026,0.0437,0.2999,0.4503,0.2061
BE,2019,0.1622,0.0314,0.2363,0.5701
BE,2020,0.1299,0.0224,0.2313,0.6165
BE,2021,0.1204,0.0162,0.2548,0.6085
BE,2022,0.0988,0.0045,0.3273,0.5695
BE,2023,0.0428,0.0402,0.3052,0.6119
BE,2024,0.0374,0.0803,0.3398,0.5425
BE,2025,0.08,0.0801,0.3732,0.4667
BE,2026,0.0639,0.1237,0.4156,0.3968
BF,2019,0.1338,0.5964,0.2192,0.0506
BF,2020,0.1338,0.5964,0.2192,0.0506
BF,2021,0.1338,0.5964,0.2192,0.0506
BF,2022,0.1338,0.5964,0.2192,0.0506
BF,2023,0.1338,0.5964,0.2192,0.0506
BF,2024,0.1338,0.5964,0.2192,0.0506
BF,2025,0.1338,0.5964,0.2192,0.0506
BF,2026,0.1338,0.5964,0.2192,0.0506
BG,2019,0.0404,0.509,0.2309,0.2196
BG,2020,0.0404,0.4861,0.2345,0.239
BG,2021,0.0288,0.62,0.1776,0.1736
BG,2022,0.0342,0.5335,0.2333,0.199
BG,2023,0.0234,0.3931,0.3897,0.1937
BG,2024,0.0171,0.3193,0.5027,0.1609
BG,2025,0.0138,0.2623,0.5938,0.1302
BG,2026,0.0096,0.3927,0.5109,0.0868
BH,2019,0.0007,0.1088,0.8857,0.0048
BH,2020,0.0007,0.1088,0.8857,0.0048
BH,2021,0.0007,0.1088,0.8857,0.0048
BH,2022,0.0007,0.1088,0.8857,0.0048
BH,2023,0.0007,0.1088,0.8857,0.0048
BH,2024,0.0007,0.1088,0.8857,0.0048
BH,2025,0.0007,0.1088,0.8857,0.0048
BH,2026,0.0007,0.1088,0.8857,0.0048
BI,2019,0.0356,0.9522,0.0046,0.0077
BI,2020,0.0356,0.9522,0.0046,0.0077
BI,2021,0.0356,0.9522,0.0046,0.0077
BI,2022,0.0356,0.9522,0.0046,0.0077
BI,2023,0.0356,0.9522,0.0046,0.0077
BI,2024,0.0356,0.9522,0.0046,0.0077
BI,2025,0.0356,0.9522,0.0046,0.0077
BI,2026,0.0356,0.9522,0.0046,0.0077
BJ,2019,0.0163,0.77,0.107,0.1067
BJ,2020,0.0163,0.77,0.107,0.1067
BJ,2021,0.0163,0.77,0.107,0.1067
BJ,2022,0.0163,0.77,0.107,0.1067
BJ,2023,0.0163,0.77,0.107,0.1067
BJ,2024,0.0163,0.77,0.107,0.1067
BJ,2025,0.0163,0.77,0.107,0.1067
BJ,2026,0.0163,0.77,0.107,0.1067
BM,2019,1,0,0,0
BM,2020,1,0,0,0
BM,2021,1,0,0,0
BM,2022,1,0,0,0
BM,2023,1,0,0,0
BM,2024,1,0,0,0
BM,2025,1,0,0,0
BM,2026,1,0,0,0
BN,2019,NaN,NaN,NaN,NaN
BN,2020,NaN,NaN,NaN,NaN
BN,2021,NaN,NaN,NaN,NaN
BN,2022,NaN,NaN,NaN,NaN
BN,2023,NaN,NaN,NaN,NaN
BN,2024,NaN,NaN,NaN,NaN
BN,2025,NaN,NaN,NaN,NaN
BN,2026,NaN,NaN,NaN,NaN
BO,2019,0.0414,0.895,0.0442,0.0194
BO,2020,0.0385,0.8727,0.071,0.0177
BO,2021,0.0466,0.8368,0.0881,0.0285
BO,2022,0.034,0.7513,0.0943,0.1204
BO,2023,0.0334,0.7083,0.1094,0.1489
BO,2024,0.0263,0.7527,0.0921,0.1289
BO,2025,0.0291,0.8156,0.0849,0.0704
BO,2026,0,0.8411,0.093,0.0658
BR,2019,0.1047,0.7809,0.0127,0.1018
BR,2020,0.1112,0.7663,0.0204,0.1021
BR,2021,0.1108,0.7196,0.0324,0.1372
BR,2022,0.0913,0.7267,0.05,0.132
BR,2023,0.0895,0.6852,0.0802,0.1452
BR,2024,0.0873,0.6417,0.1123,0.1588
BR,2025,0.0826,0.6045,0.1406,0.1723
BR,2026,0.0613,0.66,0.1541,0.1246
BS,2019,NaN,NaN,NaN,NaN
BS,2020,NaN,NaN,NaN,NaN
BS,2021,NaN,NaN,NaN,NaN
BS,2022,NaN,NaN,NaN,NaN
BS,2023,NaN,NaN,NaN,NaN
BS,2024,NaN,NaN,NaN,NaN
BS,2025,NaN,NaN,NaN,NaN
BS,2026,NaN,NaN,NaN,NaN
BT,2019,0,1,0,0
BT,2020,0,1,0,0
BT,2021,0,1,0,0
BT,2022,0,1,0,0
BT,2023,0,1,0,0
BT,2024,0,1,0,0
BT,2025,0,1,0,0
BT,2026,0,1,0,0
BW,2019,0.0162,0.7671,0.1103,0.1063
BW,2020,0.0162,0.7671,0.1103,0.1063
BW,2021,0.0162,0.7671,0.1103,0.1063
BW,2022,0.0162,0.7671,0.1103,0.1063
BW,2023,0.0162,0.7671,0.1103,0.1063
BW,2024,0.0162,0.7671,0.1103,0.1063
BW,2025,0.0162,0.7671,0.1103,0.1063
BW,2026,0.0162,0.7671,0.1103,0.1063
BY,2019,0.0742,0.4601,0.2303,0.2355
BY,2020,0.1133,0.4711,0.1994,0.2162
BY,2021,0.1307,0.4482,0.213,0.2081
BY,2022,0.1131,0.4361,0.2447,0.2061
BY,2023,0.2204,0.3895,0.1996,0.1905
BY,2024,0.1842,0.3986,0.2321,0.1851
BY,2025,0.1364,0.5269,0.0873,0.2495
BY,2026,0.2726,0.3877,0.1155,0.2242
BZ,2019,0.2481,0.6951,0.0244,0.0324
BZ,2020,0.247,0.689,0.0284,0.0356
BZ,2021,0.2475,0.6771,0.0329,0.0425
BZ,2022,0.2388,0.6795,0.0376,0.0441
BZ,2023,0.2384,0.6688,0.0451,0.0476
