country,year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
AE,2019,0,0,0.9736,0,0,0,0,0.0264,0
AE,2020,0,0,0.9736,0,0,0,0,0.0264,0
AE,2021,0,0,0.9736,0,0,0,0,0.0264,0
AE,2022,0,0,0.9736,0,0,0,0,0.0264,0
AE,2023,0,0,0.9736,0,0,0,0,0.0264,0
AE,2024,0,0,0.9736,0,0,0,0,0.0264,0
AE,2025,0,0,0.9736,0,0,0,0,0.0264,0
AF,2019,0.0119,0.4629,0.0931,0.2982,0.0412,0.0237,0.0043,0.0331,0.0316
AF,2020,0.0132,0.4553,0.0907,0.3005,0.0411,0.0228,0.0037,0.0375,0.035
AF,2021,0.0148,0.4534,0.0858,0.2922,0.0412,0.0231,0.0038,0.0418,0.044
AF,2022,0.0161,0.444,0.0817,0.2922,0.041,0.0233,0.004,0.0489,0.0488
AF,2023,0.0164,0.4471,0.0778,0.2813,0.0411,0.0213,0.004,0.057,0.054
AF,2024,0.0158,0.4343,0.0752,0.2845,0.0404,0.0202,0.0041,0.0691,0.0564
AF,2025,0.0167,0.4376,0.0757,0.2581,0.0426,0.0213,0.0042,0.0781,0.0657
AG,2019,0,0,0,0,0,0.9722,0,0.0278,0
AG,2020,0,0,0,0,0,0.9722,0,0.0278,0
AG,2021,0,0,0,0,0,0.9722,0,0.0278,0
AG,2022,0,0,0,0,0,0.9722,0,0.0278,0
AG,2023,0,0,0,0,0,0.9722,0,0.0278,0
AG,2024,0,0,0,0,0,0.9722,0,0.0278,0
AG,2025,0,0,0,0,0,0.9722,0,0.0278,0
AL,2019,0.0088,0.0528,0.0822,0.7335,0.072,0.007,0.002,0.0125,0.0292
AL,2020,0.0093,0.0468,0.0799,0.7385,0.0683,0.0068,0.0021,0.0148,0.0336
AL,2021,0.0095,0.0493,0.081,0.7349,0.0695,0.0068,0.002,0.0155,0.0316
AL,2022,0.0095,0.053,0.0815,0.73,0.0621,0.0068,0.0021,0.0189,0.0361
AL,2023,0.0088,0.0463,0.0758,0.7352,0.0632,0.0064,0.0021,0.0224,0.0398
AL,2024,0.009,0.0423,0.0716,0.7379,0.064,0.0064,0.002,0.0264,0.0404
AL,2025,0.0089,0.0468,0.0816,0.7305,0.0638,0.0069,0.002,0.0194,0.04
AM,2019,0,0,0.3984,0.3132,0.2883,0,0,0,0
AM,2020,0,0,0.4096,0.2315,0.3589,0,0,0,0
AM,2021,0,0,0.4411,0.2853,0.2618,0,0,0.0118,0
AM,2022,0.0002,0.0042,0.4313,0.2185,0.3176,0.0001,0,0.0276,0.0005
AM,2023,0.0002,0.0053,0.4361,0.1955,0.3166,0.0001,0,0.0454,0.0007
AM,2024,0.0003,0.0092,0.4239,0.2249,0.2781,0.0001,0.0001,0.0623,0.0012
AM,2025,0,0,0.4925,0.194,0.2388,0,0,0.0746,0
AO,2019,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2020,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2021,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2022,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2023,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2024,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AO,2025,0.0032,0,0.1037,0.7276,0,0.1643,0,0.0013,0
AR,2019,0.0044,0.0092,0.5815,0.2843,0.0597,0.0161,0.0001,0.0063,0.0384
AR,2020,0.0055,0.0135,0.5826,0.2285,0.0746,0.0153,0,0.01,0.07
AR,2021,0.0078,0.0198,0.599,0.1784,0.0717,0.0164,0,0.0155,0.0913
AR,2022,0.0085,0.0222,0.5376,0.236,0.0523,0.0195,0.0003,0.0221,0.1013
AR,2023,0.0082,0.011,0.4813,0.2943,0.0616,0.0174,0.0003,0.0242,0.1017
AR,2024,0.0088,0.0061,0.508,0.2506,0.072,0.0119,0.0002,0.0288,0.1136
AR,2025,0.0078,0.0039,0.5897,0.1881,0.061,0.0112,0.0002,0.033,0.1052
AS,2019,0,0,0,0,0,1,0,0,0
AS,2020,0,0,0,0,0,1,0,0,0
AS,2021,0,0,0,0,0,1,0,0,0
AS,2022,0,0,0,0,0,1,0,0,0
AS,2023,0,0,0,0,0,1,0,0,0
AS,2024,0,0,0,0,0,1,0,0,0
AS,2025,0,0,0,0,0,1,0,0,0
AT,2019,0.0331,0.0312,0.166,0.5902,0.0176,0.0169,0.0005,0.0237,0.1209
AT,2020,0.0275,0.0153,0.1531,0.6271,0.0143,0.0174,0.0004,0.0289,0.1159
AT,2021,0.025,0.0222,0.1724,0.5787,0.0299,0.0182,0.0008,0.0383,0.1145
AT,2022,0.0402,0.0239,0.1817,0.535,0.0272,0.0183,0.0009,0.0538,0.119
AT,2023,0.0228,0.0099,0.1131,0.6131,0.0122,0.0172,0.0004,0.0789,0.1324
AT,2024,0.0272,0.0026,0.093,0.62,0.0036,0.0152,0.0001,0.1044,0.1338
AT,2025,0.0343,0.0209,0.2501,0.4301,0.0286,0.0172,0.0009,0.0816,0.1364
AU,2019,0.0017,0.6581,0.1155,0.0611,0,0,0,0.0789,0.0848
AU,2020,0.0013,0.6339,0.1011,0.0643,0,0,0,0.0997,0.0997
AU,2021,0.0012,0.6055,0.079,0.0705,0,0.0004,0,0.1257,0.1176
AU,2022,0.001,0.5584,0.091,0.0727,0,0.0003,0,0.1479,0.1286
AU,2023,0.0014,0.5405,0.0757,0.0662,0,0.0001,0,0.1815,0.1346
