subdivision,period,Bioenergy,Hydro,Solar,Wind
CA-AB,2019-01,0.4925,0.1023,0.0006,0.4047
CA-BC,2019-01,0.0076,0.9673,0,0.0251
CA-MB,2019-01,0.0004,0.9738,0,0.0258
CA-NB,2019-01,0.1471,0.6223,0,0.2306
CA-NL,2019-01,0.0046,0.9918,0,0.0036
CA-NS,2019-01,0.2677,0.3841,0,0.3482
CA-NT,2019-01,0.1324,0.8256,0,0.042
CA-NU,2019-01,1,0,0,0
CA-ON,2019-01,0.0212,0.6804,0.0163,0.2821
CA-PE,2019-01,0.0009,0,0.0004,0.9987
CA-QC,2019-01,0.0008,0.9478,0,0.0514
CA-SK,2019-01,0.2649,0.603,0,0.1321
CA-YT,2019-01,0.0191,0.9809,0,0
US-AK,2019-01,0.0177,0.9003,0,0.0821
US-AL,2019-01,0.2038,0.7825,0.0137,0
US-AR,2019-01,0.2439,0.7355,0.0206,0
US-AZ,2019-01,0.0261,0.5564,0.3568,0.0607
US-CA,2019-01,0.1414,0.3692,0.3435,0.1458
US-CO,2019-01,0.0119,0.1009,0.0545,0.8327
US-CT,2019-01,0.4341,0.4935,0.0624,0.0101
US-DC,2019-01,0.9134,0,0.0866,0
US-DE,2019-01,0.584,0,0.3501,0.0659
US-FL,2019-01,0.6,0.0488,0.3513,0
US-GA,2019-01,0.3653,0.52,0.1147,0
US-HI,2019-01,0.2732,0.0741,0.1467,0.506
US-IA,2019-01,0.0082,0.0366,0.0002,0.955
US-ID,2019-01,0.0423,0.7198,0.0259,0.2121
US-IL,2019-01,0.0242,0.0072,0.0018,0.9669
US-IN,2019-01,0.0555,0.0302,0.0177,0.8966
US-KS,2019-01,0.0038,0.0016,0.0002,0.9944
US-KY,2019-01,0.1049,0.8896,0.0055,0
US-LA,2019-01,0.6314,0.3683,0.0003,0
US-MA,2019-01,0.3694,0.2908,0.2521,0.0877
US-MD,2019-01,0.0854,0.7348,0.0683,0.1115
US-ME,2019-01,0.2738,0.4437,0.0004,0.282
US-MI,2019-01,0.2395,0.1208,0.0056,0.6341
US-MN,2019-01,0.088,0.0843,0.039,0.7887
US-MO,2019-01,0.0231,0.5244,0.008,0.4445
US-MS,2019-01,0.8449,0,0.1551,0
US-MT,2019-01,0.002,0.7627,0.0016,0.2337
US-NC,2019-01,0.1136,0.6478,0.2109,0.0277
US-ND,2019-01,0,0.255,0,0.7449
US-NE,2019-01,0.0127,0.2116,0.0019,0.7737
US-NH,2019-01,0.4131,0.4655,0,0.1213
US-NJ,2019-01,0.5344,0.0085,0.4407,0.0164
US-NM,2019-01,0.0035,0.0182,0.1108,0.8674
US-NV,2019-01,0.0111,0.3548,0.5678,0.0664
US-NY,2019-01,0.0501,0.7952,0.0079,0.1468
US-OH,2019-01,0.1718,0.1018,0.0156,0.7108
US-OK,2019-01,0.01,0.1277,0.0012,0.8611
US-OR,2019-01,0.0294,0.8805,0.0095,0.0806
US-PA,2019-01,0.2299,0.3213,0.0058,0.4429
US-RI,2019-01,0.3773,0.0111,0.0687,0.5428
US-SC,2019-01,0.3083,0.6212,0.0705,0
US-SD,2019-01,0,0.7907,0.0001,0.2093
US-TN,2019-01,0.086,0.8981,0.0122,0.0037
US-TX,2019-01,0.0171,0.0185,0.0324,0.932
US-UT,2019-01,0.027,0.2591,0.4562,0.2577
US-VA,2019-01,0.6109,0.2873,0.1018,0
US-VT,2019-01,0.1959,0.6194,0.0324,0.1522
US-WA,2019-01,0.0211,0.9287,0.0003,0.0498
US-WI,2019-01,0.2326,0.4195,0.0025,0.3454
US-WV,2019-01,0,0.6082,0,0.3918
US-WY,2019-01,0,0.1629,0.0157,0.8214
CA-AB,2019-02,0.6548,0.1479,0.0005,0.1968
CA-BC,2019-02,0.0066,0.9779,0,0.0155
CA-MB,2019-02,0.0003,0.971,0,0.0287
CA-NB,2019-02,0.1327,0.5435,0,0.3238
CA-NL,2019-02,0.005,0.9906,0,0.0044
CA-NS,2019-02,0.2529,0.3561,0,0.391
CA-NT,2019-02,0.1413,0.821,0.0001,0.0376
CA-NU,2019-02,1,0,0,0
CA-ON,2019-02,0.0282,0.6843,0.0208,0.2667
CA-PE,2019-02,0.0006,0,0.0005,0.9989
CA-QC,2019-02,0.0007,0.9438,0,0.0555
CA-SK,2019-02,0.3001,0.6139,0,0.086
CA-YT,2019-02,0.0217,0.9783,0,0
US-AK,2019-02,0.0237,0.8963,0,0.08
US-AL,2019-02,0.2115,0.7748,0.0136,0
US-AR,2019-02,0.1547,0.8332,0.0121,0
US-AZ,2019-02,0.0238,0.5539,0.3607,0.0616
US-CA,2019-02,0.088,0.4118,0.2932,0.207
US-CO,2019-02,0.0116,0.1178,0.0635,0.8071
US-CT,2019-02,0.5136,0.395,0.0793,0.0121
US-DC,2019-02,0.9115,0,0.0885,0
US-DE,2019-02,0.5692,0,0.3813,0.0496
US-FL,2019-02,0.5674,0.0365,0.3962,0
US-GA,2019-02,0.4474,0.4381,0.1145,0
US-HI,2019-02,0.2724,0.0698,0.1659,0.4919
US-IA,2019-02,0.0096,0.0272,0.0002,0.963
US-ID,2019-02,0.0337,0.7356,0.0262,0.2046
US-IL,2019-02,0.0245,0.0062,0.0026,0.9668
US-IN,2019-02,0.0552,0.0292,0.0299,0.8856
US-KS,2019-02,0.0032,0.0015,0.0002,0.9952
US-KY,2019-02,0.1128,0.8805,0.0067,0
US-LA,2019-02,0.4805,0.5193,0.0002,0
US-MA,2019-02,0.3111,0.2977,0.2982,0.093
US-MD,2019-02,0.0674,0.7297,0.0826,0.1204
US-ME,2019-02,0.2463,0.4275,0.0005,0.3256
US-MI,2019-02,0.2441,0.1089,0.0134,0.6335
US-MN,2019-02,0.0888,0.0635,0.0299,0.8178
US-MO,2019-02,0.0253,0.4361,0.0079,0.5307
US-MS,2019-02,0.8547,0,0.1453,0
US-MT,2019-02,0.0017,0.7949,0.0017,0.2017
US-NC,2019-02,0.1707,0.4564,0.3337,0.0392
US-ND,2019-02,0,0.1986,0,0.8014
US-NE,2019-02,0.013,0.143,0.0017,0.8422
US-NH,2019-02,0.3669,0.4859,0,0.1472
US-NJ,2019-02,0.455,0,0.5307,0.0143
US-NM,2019-02,0.0027,0.0174,0.1067,0.8732
US-NV,2019-02,0.0088,0.3853,0.548,0.0579
US-NY,2019-02,0.0536,0.789,0.0109,0.1464
US-OH,2019-02,0.1908,0.1091,0.0287,0.6714
US-OK,2019-02,0.0089,0.2218,0.0013,0.768
US-OR,2019-02,0.0253,0.8611,0.0107,0.1029
US-PA,2019-02,0.2422,0.3166,0.0079,0.4333
US-RI,2019-02,0.4279,0.0099,0.0818,0.4804
