subdivision,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
CA-AB,2019-01,0.0744,0.3317,0.4725,0.0163,0,0.0389,0.0014,0.0001,0.0647
CA-BC,2019-01,0.0066,0.0295,0.0419,0.8951,0,0.0035,0.0001,0,0.0233
CA-MB,2019-01,0.0004,0.0016,0.0023,0.9698,0,0.0002,0,0,0.0257
CA-NB,2019-01,0.0365,0.1627,0.2317,0.1633,0.3256,0.0191,0.0007,0,0.0605
CA-NL,2019-01,0.0041,0.0183,0.0261,0.9458,0,0.0021,0.0001,0,0.0034
CA-NS,2019-01,0.0656,0.2925,0.4166,0.0996,0,0.0343,0.0013,0,0.0903
CA-NT,2019-01,0.0519,0.2312,0.3293,0.3421,0,0.0271,0.001,0,0.0174
CA-NU,2019-01,0.081,0.361,0.5142,0,0,0.0423,0.0015,0,0
CA-ON,2019-01,0.0072,0.0323,0.046,0.2457,0.5571,0.0038,0.0001,0.0059,0.1019
CA-PE,2019-01,0.0009,0.004,0.0056,0,0,0.0005,0,0.0004,0.9887
CA-QC,2019-01,0.0007,0.0032,0.0046,0.94,0,0.0004,0,0,0.051
CA-SK,2019-01,0.0654,0.2917,0.4155,0.1575,0,0.0342,0.0013,0,0.0345
CA-YT,2019-01,0.015,0.0667,0.0951,0.8151,0,0.0078,0.0003,0,0
US-AK,2019-01,0.0045,0.1274,0.5069,0.2304,0,0.1098,0,0,0.021
US-AL,2019-01,0.0232,0.2443,0.3199,0.0889,0.3219,0.0003,0,0.0016,0
US-AR,2019-01,0.0213,0.4552,0.2263,0.0643,0.2301,0.0009,0,0.0018,0
US-AZ,2019-01,0.0023,0.2588,0.3241,0.0484,0.3296,0.0005,0,0.031,0.0053
US-CA,2019-01,0.0369,0.0018,0.5439,0.0962,0.1191,0.0051,0.0694,0.0896,0.038
US-CO,2019-01,0.0027,0.5126,0.2627,0.0226,0,0.001,0,0.0122,0.1863
US-CT,2019-01,0.0152,0.0138,0.4874,0.0172,0.4526,0.0113,0,0.0022,0.0004
US-DE,2019-01,0.0188,0.0983,0.8327,0,0,0.0368,0,0.0113,0.0021
US-FL,2019-01,0.022,0.1082,0.6794,0.0018,0.1514,0.0243,0,0.0129,0
US-GA,2019-01,0.0386,0.1857,0.4219,0.0549,0.2833,0.0035,0,0.0121,0
US-HI,2019-01,0.0319,0.122,0.0008,0.0087,0,0.7604,0,0.0171,0.0591
US-IA,2019-01,0.0033,0.4263,0.0976,0.0146,0.0774,0.001,0,0.0001,0.3798
US-ID,2019-01,0.0283,0.0018,0.3194,0.4816,0,0.0042,0.0055,0.0173,0.1419
US-IL,2019-01,0.0021,0.3331,0.0796,0.0006,0.4995,0.0015,0,0.0002,0.0835
US-IN,2019-01,0.0041,0.639,0.2837,0.0022,0,0.0041,0,0.0013,0.0656
US-KS,2019-01,0.0014,0.3806,0.0424,0.0006,0.2083,0.0018,0,0.0001,0.3648
US-KY,2019-01,0.0056,0.7701,0.1753,0.0471,0,0.0016,0,0.0003,0
US-LA,2019-01,0.0278,0.0915,0.7229,0.0162,0.0864,0.0551,0,0,0
US-MA,2019-01,0.0394,0,0.6442,0.031,0.1965,0.0527,0,0.0269,0.0093
US-MD,2019-01,0.0097,0.1919,0.305,0.0831,0.3806,0.0095,0,0.0077,0.0126
US-ME,2019-01,0.2149,0.0092,0.1757,0.3483,0,0.0303,0,0.0003,0.2213
US-MI,2019-01,0.0215,0.3403,0.2717,0.0109,0.2841,0.0141,0,0.0005,0.057
US-MN,2019-01,0.0211,0.3996,0.111,0.0202,0.2422,0.008,0,0.0093,0.1887
US-MO,2019-01,0.0016,0.757,0.0593,0.036,0.1138,0.0013,0,0.0005,0.0305
