subdivision,year,Bioenergy,Hydro,Solar,Wind
CA-AB,2019,0.4938,0.1939,0.0018,0.3105
CA-AB,2020,0.4239,0.1792,0.0019,0.3949
CA-AB,2021,0.3819,0.1429,0.017,0.4582
CA-AB,2022,0.3193,0.1472,0.0555,0.4781
CA-AB,2023,0.2283,0.1032,0.1203,0.5482
CA-AB,2024,0.2056,0.0826,0.1265,0.5852
CA-AB,2025,0.1863,0.0821,0.1395,0.5921
CA-AB,2026,0.1469,0.0949,0.1412,0.6169
CA-BC,2019,0.0096,0.9644,0,0.0259
CA-BC,2020,0.0072,0.9482,0,0.0446
CA-BC,2021,0.008,0.9617,0.0001,0.0302
CA-BC,2022,0.0056,0.972,0.0001,0.0223
CA-BC,2023,0.0072,0.9595,0.0001,0.0332
CA-BC,2024,0.0074,0.9595,0.0001,0.033
CA-BC,2025,0.0066,0.9637,0.0003,0.0294
CA-BC,2026,0.0049,0.9706,0.0004,0.0241
CA-MB,2019,0.0003,0.9735,0,0.0263
CA-MB,2020,0.0002,0.9739,0,0.0259
CA-MB,2021,0.0003,0.9663,0.0001,0.0333
CA-MB,2022,0.0002,0.9733,0,0.0264
CA-MB,2023,0.0003,0.9748,0,0.0249
CA-MB,2024,0.0003,0.9696,0.0001,0.0301
CA-MB,2025,0.0002,0.965,0.0001,0.0347
CA-MB,2026,0.0002,0.9728,0.0001,0.0269
CA-NB,2019,0.0928,0.7018,0,0.2054
CA-NB,2020,0.0803,0.695,0,0.2247
CA-NB,2021,0.1072,0.7029,0,0.1899
CA-NB,2022,0.088,0.7807,0,0.1313
CA-NB,2023,0.0956,0.7763,0.0002,0.128
CA-NB,2024,0.1066,0.6505,0.0006,0.2422
CA-NB,2025,0.1026,0.6153,0.0005,0.2817
CA-NB,2026,0.1022,0.6757,0.0008,0.2213
CA-NL,2019,0.0036,0.992,0,0.0044
CA-NL,2020,0.0033,0.9921,0,0.0046
CA-NL,2021,0.003,0.9931,0,0.0039
CA-NL,2022,0.0023,0.9933,0,0.0044
CA-NL,2023,0.0015,0.9947,0,0.0038
CA-NL,2024,0.0019,0.9938,0,0.0042
CA-NL,2025,0.0025,0.9925,0,0.005
CA-NL,2026,0.0022,0.9929,0,0.0049
CA-NS,2019,0.2344,0.3733,0,0.3923
CA-NS,2020,0.2725,0.3303,0,0.3973
CA-NS,2021,0.2492,0.3106,0,0.4402
CA-NS,2022,0.1813,0.3214,0,0.4973
CA-NS,2023,0.1557,0.3584,0.0009,0.485
CA-NS,2024,0.1659,0.2623,0.001,0.5709
CA-NS,2025,0.1708,0.2183,0.0021,0.6088
CA-NS,2026,0.1604,0.2915,0.0038,0.5443
CA-NT,2019,0.136,0.8074,0.0009,0.0557
CA-NT,2020,0.1123,0.822,0.0036,0.0621
CA-NT,2021,0.1129,0.8315,0.0007,0.0549
CA-NT,2022,0.1155,0.8255,0.0008,0.0582
CA-NT,2023,0.1511,0.7742,0.001,0.0737
CA-NT,2024,0.1916,0.6948,0.0166,0.097
CA-NT,2025,0.1235,0.7739,0.0174,0.0852
CA-NT,2026,0.1072,0.825,0.0123,0.0555
CA-NU,2019,1,0,0,0
CA-NU,2020,1,0,0,0
CA-NU,2021,1,0,0,0
CA-NU,2022,1,0,0,0
CA-NU,2023,0.9934,0,0.0066,0
CA-NU,2024,0.9951,0,0.0049,0
CA-NU,2025,0.9945,0,0.0055,0
CA-NU,2026,0.9881,0,0.0119,0
CA-ON,2019,0.0218,0.7174,0.0451,0.2158
CA-ON,2020,0.0199,0.7042,0.0454,0.2305
CA-ON,2021,0.026,0.6829,0.0473,0.2438
CA-ON,2022,0.0241,0.6862,0.0393,0.2503
CA-ON,2023,0.0286,0.7019,0.0415,0.228
CA-ON,2024,0.0357,0.682,0.0402,0.242
CA-ON,2025,0.0438,0.6646,0.0391,0.2526
CA-ON,2026,0.0423,0.6818,0.0404,0.2354
CA-PE,2019,0.0008,0,0.0009,0.9984
CA-PE,2020,0.0007,0,0.0009,0.9984
CA-PE,2021,0.0009,0,0.0009,0.9981
CA-PE,2022,0.0008,0,0.0011,0.9981
CA-PE,2023,0.0008,0,0.0011,0.9981
CA-PE,2024,0.0007,0,0.056,0.9433
CA-PE,2025,0.0008,0,0.0774,0.9218
CA-PE,2026,0.0006,0,0.0692,0.9302
CA-QC,2019,0.0008,0.9453,0,0.0539
CA-QC,2020,0.0008,0.9464,0,0.0528
CA-QC,2021,0.0008,0.95,0,0.0491
CA-QC,2022,0.0007,0.9481,0.0001,0.0511
CA-QC,2023,0.0007,0.9496,0.0001,0.0496
CA-QC,2024,0.0009,0.9387,0.0001,0.0603
CA-QC,2025,0.0007,0.9367,0.0001,0.0625
CA-QC,2026,0.0007,0.9386,0.0001,0.0606
CA-SK,2019,0.2786,0.5958,0,0.1256
CA-SK,2020,0.236,0.6436,0,0.1204
CA-SK,2021,0.3186,0.5271,0.0008,0.1535
CA-SK,2022,0.2275,0.5184,0.0047,0.2494
CA-SK,2023,0.2259,0.4408,0.008,0.3252
CA-SK,2024,0.2383,0.3972,0.0092,0.3553
CA-SK,2025,0.2001,0.4037,0.0067,0.3895
CA-SK,2026,0.1584,0.5226,0.0072,0.3118
CA-YT,2019,0.0205,0.9795,0,0
CA-YT,2020,0.0176,0.9824,0,0
CA-YT,2021,0.0113,0.9885,0.0002,0
CA-YT,2022,0.0099,0.9886,0.0015,0
CA-YT,2023,0.0101,0.9872,0.0014,0.0013
CA-YT,2024,0.0188,0.9673,0.0018,0.0121
CA-YT,2025,0.0314,0.9321,0.0197,0.0168
CA-YT,2026,0.0307,0.9374,0.0134,0.0185
US-AK,2019,0.0208,0.9001,0,0.0791
US-AK,2020,0.0202,0.9132,0,0.0665
US-AK,2021,0.0205,0.9084,0,0.0711
US-AK,2022,0.0216,0.9049,0,0.0736
US-AK,2023,0.0202,0.9218,0,0.0579
US-AK,2024,0.0228,0.9078,0.0041,0.0653
US-AK,2025,0.0203,0.9242,0,0.0555
US-AK,2026,0.0154,0.9403,0,0.0443
US-AL,2019,0.2216,0.7529,0.0254,0
US-AL,2020,0.1942,0.7841,0.0217,0
US-AL,2021,0.2161,0.7517,0.0322,0
US-AL,2022,0.2235,0.7138,0.0627,0
US-AL,2023,0.2475,0.6588,0.0937,0
US-AL,2024,0.2538,0.6488,0.0975,0
US-AL,2025,0.2532,0.6433,0.1035,0
US-AL,2026,0.2566,0.5913,0.1521,0
US-AR,2019,0.2329,0.7304,0.0367,0
US-AR,2020,0.1608,0.7923,0.0469,0
US-AR,2021,0.1579,0.757,0.0851,0
US-AR,2022,0.1645,0.6914,0.1441,0
US-AR,2023,0.1473,0.6881,0.1646,0
US-AR,2024,0.1251,0.507,0.3679,0
US-AR,2025,0.095,0.3686,0.5167,0.0197
US-AR,2026,0.0728,0.2889,0.5925,0.0458
US-AZ,2019,0.0188,0.5059,0.4301,0.0452
US-AZ,2020,0.0169,0.4917,0.4426,0.0488
US-AZ,2021,0.0144,0.4158,0.4601,0.1097
US-AZ,2022,0.0144,0.379,0.4968,0.1099
US-AZ,2023,0.0125,0.3935,0.4818,0.1123
US-AZ,2024,0.0097,0.2843,0.5718,0.1342
US-AZ,2025,0.0076,0.2092,0.6517,0.1315
US-AZ,2026,0.0054,0.1844,0.6597,0.1505
US-CA,2019,0.0688,0.4439,0.3282,0.1591
US-CA,2020,0.0796,0.3013,0.4274,0.1918
US-CA,2021,0.0776,0.2057,0.4994,0.2174
US-CA,2022,0.0696,0.2295,0.5089,0.192
US-CA,2023,0.055,0.3475,0.4452,0.1523
US-CA,2024,0.0484,0.2993,0.4931,0.1593
US-CA,2025,0.0425,0.2694,0.5324,0.1557
US-CA,2026,0.0377,0.2473,0.5538,0.1611
US-CO,2019,0.0117,0.1169,0.0879,0.7835
US-CO,2020,0.01,0.0915,0.0907,0.8077
US-CO,2021,0.0091,0.0841,0.0931,0.8137
US-CO,2022,0.0078,0.0636,0.1154,0.8131
US-CO,2023,0.0062,0.0755,0.1684,0.7499
US-CO,2024,0.0036,0.0709,0.2028,0.7227
US-CO,2025,0.003,0.0773,0.2263,0.6934
US-CO,2026,0.0025,0.0811,0.2638,0.6525
US-CT,2019,0.5634,0.3233,0.1041,0.0092
US-CT,2020,0.5857,0.2451,0.1601,0.0091
US-CT,2021,0.5003,0.316,0.1753,0.0084
US-CT,2022,0.4105,0.2504,0.33,0.0091
US-CT,2023,0.3962,0.3153,0.2825,0.006
US-CT,2024,0.3905,0.2643,0.3377,0.0074
US-CT,2025,0.3473,0.1998,0.4457,0.0072
US-CT,2026,0.3081,0.1645,0.5218,0.0056
US-DC,2019,0.862,0,0.138,0
US-DC,2020,0.812,0,0.188,0
US-DC,2021,0.7531,0,0.2469,0
US-DC,2022,0.7217,0,0.2783,0
US-DC,2023,0.7023,0,0.2977,0
US-DC,2024,0.6385,0,0.3615,0
US-DC,2025,0.5121,0,0.4879,0
US-DC,2026,0.4289,0,0.5711,0
US-DE,2019,0.5096,0,0.4466,0.0437
US-DE,2020,0.5483,0,0.4123,0.0394
US-DE,2021,0.543,0,0.4213,0.0357
US-DE,2022,0.5363,0,0.434,0.0297
US-DE,2023,0.2937,0,0.6878,0.0185
US-DE,2024,0.1984,0,0.7891,0.0125
US-DE,2025,0.1469,0,0.8303,0.0228
US-DE,2026,0.0922,0,0.8951,0.0127
US-FL,2019,0.5198,0.0245,0.4557,0
US-FL,2020,0.3738,0.0215,0.6047,0
US-FL,2021,0.3125,0.0186,0.6689,0
US-FL,2022,0.2571,0.0148,0.7281,0
US-FL,2023,0.1795,0.0129,0.8076,0
US-FL,2024,0.1361,0.0081,0.8558,0
US-FL,2025,0.1154,0.0026,0.8821,0
US-FL,2026,0.0953,0.0011,0.9036,0
US-GA,2019,0.4935,0.3082,0.1983,0
US-GA,2020,0.4206,0.3078,0.2716,0
US-GA,2021,0.4104,0.2477,0.3418,0
US-GA,2022,0.3766,0.1666,0.4568,0
US-GA,2023,0.3366,0.1503,0.5131,0
US-GA,2024,0.3207,0.1303,0.549,0
US-GA,2025,0.2598,0.1183,0.6219,0
US-GA,2026,0.2441,0.0926,0.6634,0
US-HI,2019,0.2463,0.0799,0.2266,0.4472
US-HI,2020,0.179,0.069,0.3382,0.4137
US-HI,2021,0.1808,0.0736,0.3246,0.421
US-HI,2022,0.1767,0.0702,0.3541,0.399
US-HI,2023,0.1725,0.056,0.3914,0.3802
US-HI,2024,0.1296,0.0595,0.4179,0.393
US-HI,2025,0.1074,0.0137,0.5519,0.327
US-HI,2026,0.0808,0,0.598,0.3212
US-IA,2019,0.0079,0.0291,0.0006,0.9624
US-IA,2020,0.0059,0.0289,0.0006,0.9646
US-IA,2021,0.0052,0.0255,0.0058,0.9635
US-IA,2022,0.0046,0.0213,0.0082,0.9659
US-IA,2023,0.0049,0.022,0.0121,0.9611
US-IA,2024,0.0047,0.0223,0.0144,0.9586
US-IA,2025,0.0042,0.0227,0.0281,0.945
US-IA,2026,0.0037,0.0322,0.0313,0.9328
US-ID,2019,0.0371,0.7403,0.0399,0.1828
US-ID,2020,0.039,0.7114,0.0423,0.2072
US-ID,2021,0.0417,0.6816,0.0482,0.2285
US-ID,2022,0.039,0.7088,0.0452,0.2069
US-ID,2023,0.037,0.6984,0.0712,0.1935
US-ID,2024,0.0298,0.6734,0.0749,0.2219
US-ID,2025,0.034,0.6502,0.1084,0.2074
US-ID,2026,0.0235,0.6856,0.1162,0.1747
US-IL,2019,0.0274,0.0082,0.0041,0.9603
US-IL,2020,0.0232,0.008,0.0047,0.964
US-IL,2021,0.0181,0.0064,0.0255,0.95
US-IL,2022,0.0111,0.0045,0.0609,0.9234
US-IL,2023,0.0101,0.0038,0.0794,0.9067
US-IL,2024,0.0079,0.0027,0.1082,0.8812
US-IL,2025,0.0079,0.001,0.2043,0.7868
US-IL,2026,0.0064,0.0006,0.2759,0.7171
US-IN,2019,0.0638,0.0353,0.0444,0.8565
US-IN,2020,0.0608,0.0368,0.0487,0.8537
US-IN,2021,0.0464,0.0419,0.062,0.8498
US-IN,2022,0.0326,0.0314,0.0916,0.8443
US-IN,2023,0.0222,0.0406,0.1622,0.7749
US-IN,2024,0.0131,0.0269,0.2216,0.7384
US-IN,2025,0.01,0.02,0.3831,0.5869
US-IN,2026,0.0073,0.013,0.4499,0.5298
US-KS,2019,0.003,0.001,0.0005,0.9955
US-KS,2020,0.0026,0.0013,0.0024,0.9936
US-KS,2021,0.0023,0.0012,0.0024,0.9942
US-KS,2022,0.002,0.0008,0.0025,0.9947
US-KS,2023,0.0024,0.0005,0.003,0.9942
US-KS,2024,0.0019,0.0007,0.0041,0.9934
US-KS,2025,0.0017,0.0008,0.0159,0.9816
US-KS,2026,0.0016,0.0007,0.0257,0.972
US-KY,2019,0.0804,0.9099,0.0097,0
US-KY,2020,0.0644,0.9277,0.0079,0
US-KY,2021,0.0777,0.9137,0.0086,0
US-KY,2022,0.0891,0.9016,0.0093,0
US-KY,2023,0.0923,0.8734,0.0343,0
US-KY,2024,0.0824,0.8598,0.0579,0
US-KY,2025,0.069,0.6625,0.2685,0
US-KY,2026,0.0522,0.5586,0.3891,0
US-LA,2019,0.6219,0.3777,0.0004,0
US-LA,2020,0.6299,0.3584,0.0117,0
US-LA,2021,0.6301,0.3268,0.0431,0
US-LA,2022,0.6512,0.2873,0.0615,0
US-LA,2023,0.6652,0.2372,0.0976,0
US-LA,2024,0.4869,0.2178,0.2953,0
US-LA,2025,0.3819,0.1595,0.4587,0
US-LA,2026,0.3233,0.146,0.5307,0
US-MA,2019,0.3411,0.192,0.3953,0.0716
US-MA,2020,0.3215,0.1535,0.4489,0.0761
US-MA,2021,0.281,0.2002,0.4586,0.0602
US-MA,2022,0.2599,0.1437,0.5366,0.0598
US-MA,2023,0.2345,0.2017,0.5171,0.0466
US-MA,2024,0.2518,0.1234,0.5788,0.046
US-MA,2025,0.2185,0.0971,0.632,0.0525
US-MA,2026,0.1713,0.0505,0.5516,0.2266
US-MD,2019,0.1087,0.6089,0.1376,0.1448
US-MD,2020,0.1086,0.546,0.1698,0.1756
US-MD,2021,0.1029,0.5814,0.1736,0.1421
US-MD,2022,0.0947,0.5385,0.2162,0.1506
US-MD,2023,0.0895,0.5145,0.2621,0.1339
US-MD,2024,0.0881,0.4893,0.2746,0.1479
US-MD,2025,0.0765,0.4054,0.3418,0.1762
US-MD,2026,0.0603,0.3435,0.4476,0.1487
US-ME,2019,0.2726,0.4242,0.0009,0.3024
US-ME,2020,0.2728,0.4115,0.0036,0.3121
US-ME,2021,0.273,0.3523,0.0218,0.3528
US-ME,2022,0.2262,0.3815,0.0538,0.3384
US-ME,2023,0.1789,0.47,0.0641,0.287
US-ME,2024,0.2085,0.3615,0.1199,0.3101
US-ME,2025,0.1977,0.2999,0.1758,0.3265
US-ME,2026,0.1874,0.2866,0.2043,0.3217
US-MI,2019,0.2506,0.1032,0.0155,0.6307
US-MI,2020,0.2132,0.088,0.0157,0.6831
US-MI,2021,0.2129,0.0573,0.0381,0.6917
US-MI,2022,0.1764,0.042,0.0672,0.7145
US-MI,2023,0.1659,0.05,0.104,0.6801
US-MI,2024,0.1377,0.0308,0.1322,0.6993
US-MI,2025,0.1334,0.0406,0.182,0.6439
US-MI,2026,0.1111,0.0584,0.281,0.5496
US-MN,2019,0.0822,0.073,0.0864,0.7584
US-MN,2020,0.074,0.0641,0.1046,0.7573
US-MN,2021,0.078,0.0422,0.1177,0.7621
US-MN,2022,0.0621,0.0497,0.0995,0.7888
US-MN,2023,0.0618,0.0408,0.1139,0.7835
US-MN,2024,0.061,0.0454,0.1197,0.7739
US-MN,2025,0.0572,0.0365,0.1545,0.7518
US-MN,2026,0.0507,0.0574,0.1792,0.7128
