subdivision,year,Other Fossil,Other Renewables,Bioenergy,Coal,Gas,Hydro,Nuclear,Solar,Wind
CA-NL,2019,0.0019,0.0001,0.0035,0.0135,0.0214,0.9554,0,0,0.0043
CA-PE,2019,0.0004,0,0.0008,0.003,0.0048,0,0,0.0009,0.9902
CA-NS,2019,0.0361,0.0011,0.0668,0.2623,0.4148,0.1067,0,0,0.1122
CA-NB,2019,0.0159,0.0005,0.0293,0.1152,0.1822,0.2225,0.3692,0,0.0651
CA-QC,2019,0.0004,0,0.0008,0.0032,0.005,0.9372,0,0,0.0534
CA-ON,2019,0.004,0.0001,0.0074,0.0292,0.0462,0.2456,0.5781,0.0154,0.0739
CA-MB,2019,0.0001,0,0.0003,0.0011,0.0017,0.9707,0,0,0.0262
CA-SK,2019,0.0379,0.0011,0.07,0.2748,0.4345,0.1501,0,0,0.0317
CA-AB,2019,0.0426,0.0013,0.0786,0.3086,0.4881,0.031,0,0.0003,0.0496
CA-BC,2019,0.0047,0.0001,0.0087,0.0342,0.054,0.8747,0,0,0.0235
CA-YT,2019,0.0091,0.0003,0.0168,0.0659,0.1043,0.8035,0,0,0
CA-NT,2019,0.03,0.0009,0.0553,0.2173,0.3437,0.3297,0,0.0004,0.0227
CA-NU,2019,0.0463,0.0014,0.0855,0.3358,0.531,0,0,0,0
CA-NL,2020,0.0017,0,0.0032,0.0127,0.0201,0.9577,0,0,0.0044
CA-PE,2020,0.0004,0,0.0007,0.0028,0.0045,0,0,0.0009,0.9907
CA-NS,2020,0.0377,0.0009,0.0697,0.2743,0.4341,0.0832,0,0,0.1001
CA-NB,2020,0.0143,0.0003,0.0265,0.1044,0.1652,0.2261,0.3901,0,0.0731
CA-QC,2020,0.0005,0,0.0008,0.0033,0.0052,0.9379,0,0,0.0523
CA-ON,2020,0.0039,0.0001,0.0072,0.0284,0.0449,0.2514,0.5656,0.0162,0.0823
CA-MB,2020,0.0001,0,0.0003,0.001,0.0016,0.9713,0,0,0.0258
CA-SK,2020,0.0363,0.0008,0.0671,0.264,0.4178,0.1803,0,0,0.0337
CA-AB,2020,0.0414,0.0009,0.0766,0.3014,0.477,0.0319,0,0.0003,0.0703
CA-BC,2020,0.0037,0.0001,0.0068,0.0266,0.0421,0.8794,0,0,0.0413
CA-YT,2020,0.0081,0.0002,0.015,0.059,0.0934,0.8244,0,0,0
CA-NT,2020,0.0277,0.0006,0.0513,0.2017,0.3193,0.3698,0,0.0016,0.028
CA-NU,2020,0.0462,0.0011,0.0854,0.3359,0.5315,0,0,0,0
CA-NL,2021,0.0013,0.0001,0.0027,0.009,0.0203,0.9629,0,0,0.0038
CA-PE,2021,0.0004,0,0.0009,0.0029,0.0066,0,0,0.0009,0.9882
CA-NS,2021,0.0303,0.0011,0.0632,0.2154,0.4832,0.0856,0,0,0.1212
CA-NB,2021,0.0143,0.0005,0.0298,0.1017,0.2281,0.2124,0.3557,0,0.0574
CA-QC,2021,0.0004,0,0.0008,0.0026,0.0059,0.9416,0,0,0.0487
CA-ON,2021,0.004,0.0001,0.0084,0.0285,0.0638,0.2381,0.5556,0.0165,0.085
CA-MB,2021,0.0001,0,0.0003,0.001,0.0023,0.963,0,0.0001,0.0332
CA-SK,2021,0.0323,0.0012,0.0672,0.2291,0.514,0.1208,0,0.0002,0.0352
CA-AB,2021,0.0336,0.0012,0.0699,0.2381,0.5343,0.0284,0,0.0034,0.0911
CA-BC,2021,0.0033,0.0001,0.0068,0.0233,0.0522,0.8864,0,0.0001,0.0278
CA-YT,2021,0.0044,0.0002,0.0093,0.0317,0.0712,0.883,0,0.0002,0
CA-NT,2021,0.0228,0.0009,0.0474,0.1616,0.3626,0.3793,0,0.0003,0.025
CA-NU,2021,0.0383,0.0014,0.0797,0.2715,0.6091,0,0,0,0
CA-NL,2022,0.0012,0,0.0024,0.0091,0.0171,0.9658,0,0,0.0043
CA-PE,2022,0.0005,0,0.0009,0.0034,0.0063,0,0,0.0011,0.9879
CA-NS,2022,0.0305,0.0009,0.0591,0.2286,0.428,0.0993,0,0,0.1537
CA-NB,2022,0.0163,0.0005,0.0318,0.1228,0.23,0.2667,0.2871,0,0.0449
CA-QC,2022,0.0004,0,0.0007,0.0029,0.0054,0.9399,0,0.0001,0.0506
CA-ON,2022,0.0049,0.0001,0.0096,0.037,0.0693,0.2577,0.5126,0.0148,0.094
CA-MB,2022,0.0001,0,0.0002,0.0009,0.0017,0.9706,0,0,0.0264
CA-SK,2022,0.0326,0.0009,0.0631,0.2438,0.4566,0.1362,0,0.0012,0.0655
CA-AB,2022,0.0352,0.001,0.0682,0.2638,0.4939,0.0298,0,0.0112,0.0968
CA-BC,2022,0.0029,0.0001,0.0055,0.0214,0.0401,0.9091,0,0.0001,0.0209
CA-YT,2022,0.0048,0.0002,0.0094,0.0362,0.0677,0.8805,0,0.0013,0
CA-NT,2022,0.0259,0.0007,0.0503,0.1943,0.3638,0.3406,0,0.0003,0.024
CA-NU,2022,0.0409,0.0012,0.0792,0.3059,0.5729,0,0,0,0
CA-NL,2023,0.0008,0,0.0017,0.0058,0.0129,0.975,0,0,0.0037
CA-PE,2023,0.0004,0,0.0009,0.003,0.0068,0,0,0.0011,0.9877
CA-NS,2023,0.0279,0.0007,0.0584,0.1987,0.4458,0.1115,0,0.0003,0.1567
CA-NB,2023,0.0161,0.0004,0.0336,0.1145,0.2568,0.2368,0.3019,0.0001,0.0399
CA-QC,2023,0.0004,0,0.0008,0.0026,0.0059,0.9407,0,0.0001,0.0495
CA-ON,2023,0.0055,0.0001,0.0115,0.0393,0.0881,0.2467,0.51,0.0149,0.0837
CA-MB,2023,0.0001,0,0.0003,0.001,0.0023,0.9706,0,0,0.0255
CA-SK,2023,0.0308,0.0008,0.0644,0.2193,0.492,0.1108,0,0.002,0.0798
CA-AB,2023,0.031,0.0008,0.0648,0.2205,0.4948,0.0256,0,0.0299,0.1326
CA-BC,2023,0.0036,0.0001,0.0075,0.0255,0.0572,0.8767,0,0.0001,0.0294
CA-YT,2023,0.0049,0.0001,0.0103,0.035,0.0786,0.8676,0,0.0012,0.0022
CA-NT,2023,0.0274,0.0007,0.0572,0.1948,0.437,0.2571,0,0.0003,0.0254
CA-NU,2023,0.0382,0.001,0.0798,0.2715,0.6091,0,0,0.0005,0
CA-NL,2024,0.0009,0,0.0019,0.0065,0.0147,0.9728,0,0,0.0031
