period,Bioenergy,Hydro,Solar,Wind
2019-01,0.0749,0.7024,0.0638,0.1589
2019-02,0.0724,0.7079,0.0715,0.1483
2019-03,0.0686,0.681,0.0856,0.1649
2019-04,0.0649,0.6929,0.093,0.1493
2019-05,0.0622,0.7013,0.0949,0.1416
2019-06,0.0626,0.7123,0.098,0.127
2019-07,0.0648,0.7185,0.0955,0.1212
2019-08,0.0669,0.715,0.097,0.1211
2019-09,0.0664,0.706,0.093,0.1346
2019-10,0.0673,0.6992,0.0849,0.1486
2019-11,0.0706,0.6932,0.0739,0.1623
2019-12,0.0739,0.6784,0.0698,0.1779
2020-01,0.0743,0.6803,0.0754,0.17
2020-02,0.0705,0.6702,0.0805,0.1788
2020-03,0.068,0.6606,0.0954,0.176
2020-04,0.0687,0.6637,0.1121,0.1555
2020-05,0.0667,0.6687,0.1119,0.1528
2020-06,0.0633,0.6926,0.1054,0.1387
2020-07,0.0629,0.7078,0.105,0.1244
2020-08,0.0649,0.6994,0.107,0.1287
2020-09,0.064,0.7049,0.1009,0.1302
2020-10,0.064,0.686,0.0892,0.1608
2020-11,0.0728,0.6675,0.0835,0.1763
2020-12,0.0774,0.657,0.0778,0.1878
2021-01,0.0751,0.6497,0.0847,0.1906
2021-02,0.0734,0.6484,0.0933,0.1849
2021-03,0.0714,0.6238,0.1113,0.1935
2021-04,0.0695,0.6315,0.1191,0.1799
2021-05,0.0663,0.6327,0.1223,0.1786
2021-06,0.0673,0.6621,0.1267,0.144
2021-07,0.0687,0.6674,0.1217,0.1423
2021-08,0.069,0.6664,0.1206,0.144
2021-09,0.0679,0.672,0.1144,0.1457
2021-10,0.0674,0.6426,0.1068,0.1833
2021-11,0.0716,0.6348,0.0971,0.1964
2021-12,0.0757,0.621,0.0916,0.2117
2022-01,0.0752,0.6253,0.0997,0.1999
2022-02,0.073,0.6121,0.1071,0.2079
2022-03,0.0687,0.6037,0.1234,0.2042
2022-04,0.0634,0.6,0.1338,0.2028
2022-05,0.0608,0.6167,0.1389,0.1836
2022-06,0.0617,0.64,0.1393,0.159
2022-07,0.0663,0.6387,0.1431,0.1518
2022-08,0.0707,0.6392,0.1454,0.1447
2022-09,0.0693,0.627,0.1424,0.1613
2022-10,0.0661,0.6096,0.1295,0.1948
2022-11,0.0713,0.6065,0.1104,0.2118
2022-12,0.0745,0.6045,0.1015,0.2195
2023-01,0.0706,0.593,0.1105,0.2259
2023-02,0.07,0.5913,0.1237,0.215
2023-03,0.0678,0.5728,0.1424,0.217
2023-04,0.0644,0.5673,0.1553,0.213
2023-05,0.0628,0.5805,0.1676,0.1892
2023-06,0.0644,0.5976,0.1769,0.161
2023-07,0.0653,0.593,0.1696,0.172
2023-08,0.0648,0.6188,0.1678,0.1487
2023-09,0.0642,0.6157,0.1617,0.1584
2023-10,0.0635,0.5924,0.1518,0.1923
2023-11,0.0671,0.5694,0.1307,0.2329
2023-12,0.0715,0.57,0.12,0.2384
2024-01,0.0703,0.5746,0.1298,0.2253
2024-02,0.0691,0.5639,0.1404,0.2267
2024-03,0.0647,0.5449,0.1694,0.221
2024-04,0.0603,0.5466,0.1824,0.2107
2024-05,0.058,0.5638,0.1985,0.1797
2024-06,0.0573,0.5783,0.1952,0.1692
2024-07,0.0593,0.5868,0.194,0.1599
2024-08,0.0619,0.5854,0.2041,0.1485
2024-09,0.0632,0.5667,0.1872,0.1829
2024-10,0.0626,0.5552,0.1761,0.206
2024-11,0.0671,0.5532,0.1577,0.2219
2024-12,0.0687,0.5416,0.15,0.2397
2025-01,0.0658,0.5382,0.1649,0.2311
2025-02,0.0655,0.5432,0.1768,0.2145
2025-03,0.0599,0.5076,0.2044,0.2282
2025-04,0.057,0.5068,0.2296,0.2066
2025-05,0.0552,0.5173,0.234,0.1935
2025-06,0.054,0.5325,0.2375,0.176
2025-07,0.0579,0.5317,0.2436,0.1668
2025-08,0.0599,0.5393,0.2441,0.1567
2025-09,0.0574,0.5534,0.219,0.1702
2025-10,0.0592,0.5459,0.1928,0.202
2025-11,0.0619,0.5212,0.1812,0.2357
2025-12,0.0654,0.521,0.1716,0.242
2026-01,0.0634,0.5192,0.1803,0.237
2026-02,0.0625,0.5253,0.1904,0.2217
2026-03,0.0583,0.5088,0.2238,0.2092
2026-04,0.0543,0.494,0.248,0.2038
2026-05,0.0524,0.4998,0.2619,0.186
2026-06,0.0509,0.4976,0.2661,0.1853
2026-07,0.0509,0.4976,0.2661,0.1853
2026-08,0.0509,0.4976,0.2661,0.1853
