period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2019-01,0.0149,0.2781,0.3414,0.1453,0.0619,0.1043,0.0076,0.0132,0.0333
2019-02,0.0143,0.2763,0.3428,0.1474,0.058,0.1072,0.0077,0.0149,0.0312
2019-03,0.0145,0.2699,0.3383,0.1499,0.0597,0.1044,0.0077,0.0188,0.0367
2019-04,0.014,0.2621,0.3408,0.156,0.0571,0.107,0.0079,0.0212,0.034
2019-05,0.0137,0.26,0.3393,0.1626,0.0562,0.105,0.0078,0.0222,0.0332
2019-06,0.0134,0.2634,0.3438,0.1606,0.0554,0.1044,0.0076,0.0225,0.0289
2019-07,0.0134,0.2728,0.3437,0.1582,0.056,0.1006,0.0073,0.0212,0.0269
2019-08,0.0136,0.2733,0.3447,0.1559,0.0562,0.1008,0.0074,0.0214,0.0267
2019-09,0.0135,0.2653,0.3496,0.154,0.0555,0.1044,0.0076,0.0204,0.0297
2019-10,0.0138,0.2617,0.3501,0.1535,0.0566,0.105,0.0075,0.0189,0.033
2019-11,0.0143,0.2725,0.3416,0.1494,0.0582,0.1051,0.0074,0.016,0.0354
2019-12,0.0149,0.2831,0.3358,0.1431,0.0605,0.1027,0.0072,0.0148,0.038
2020-01,0.0151,0.2639,0.3464,0.1457,0.0617,0.1067,0.0076,0.0161,0.0369
2020-02,0.0148,0.2618,0.3438,0.1491,0.0572,0.1076,0.0076,0.0178,0.0403
2020-03,0.0151,0.2544,0.3402,0.154,0.0591,0.1058,0.0078,0.0222,0.0415
2020-04,0.0152,0.253,0.3405,0.1547,0.0569,0.1088,0.008,0.0262,0.0367
2020-05,0.015,0.2577,0.3345,0.1589,0.0561,0.1063,0.0078,0.0269,0.0367
2020-06,0.0141,0.2606,0.3385,0.1632,0.0537,0.1042,0.0075,0.0252,0.033
2020-07,0.0139,0.2656,0.3412,0.1648,0.0532,0.1002,0.0072,0.0248,0.0293
2020-08,0.0141,0.2745,0.3383,0.16,0.0523,0.0995,0.0071,0.0244,0.0297
2020-09,0.0141,0.2618,0.3413,0.1638,0.053,0.1041,0.0074,0.0239,0.0306
